NME        HAR-VP 1   Tol8sf
9.7405     13.1953    -16.4546
9.8514     13.0553    -16.4571
9.834      12.834     -16.4305
9.9142     12.747     -16.449
9.9432     12.6474    -16.4673
10.0013    12.5681    -16.4962
10.0784    12.4814    -16.5256
10.1304    12.3501    -16.5431
10.1763    12.3139    -16.591
10.152     12.2511    -16.6622
10.3693    12.205     -16.8277
10.3846    11.9894    -16.8042
10.4611    11.8474    -16.7223
10.5869    11.7887    -16.4134
10.6093    11.7598    -16.2573
10.6161    11.7796    -16.0658
10.6411    11.813     -15.9363
10.6661    11.7914    -15.8067
10.6725    11.7566    -15.599



















































































































































9999       9999       9999       RTEMFOS







































































































































































































9.2207     17.0532    -15.5348   LTEMFOS
9.0928     17.0359    -15.2524
9.0285     16.8978    -14.784
8.9833     17.0634    -14.4845
8.9484     17.0149    -14.2311
8.8399     17.0508    -13.8754
8.7568     16.9616    -13.4295
8.7598     16.9338    -13.1105
8.6765     16.8658    -12.8841
8.7163     16.7919    -12.5544
8.6451     16.7211    -12.3191
8.6301     16.6274    -12.0479
8.5651     16.6066    -11.8895
8.4174     16.5134    -11.6993
8.4128     16.6212    -11.6062
8.3139     16.6171    -11.4715
8.2391     16.4446    -11.1926
8.1586     16.5264    -10.9666
8.1717     16.6832    -10.7185
8.2169     16.883     -10.5525
8.1683     17.0678    -10.5872
8.2016     17.2713    -10.6681
8.3216     17.4473    -10.7287
8.4134     17.6372    -10.7588
8.6079     17.8045    -10.9037
8.7439     17.9485    -11.0398














































































































































































9999       9999       9999       OP
9999       9999       9999       BA
9.9696     11.252     -13.2579   ST
14.4079    15.0573    -14.7345   IV
8.8218     4.1476     -15.0914   R_PG
9999       9999       9999       R_ZTI
11.4083    9.2862     -15.6105   R_M3D
14.8045    11.2169    -16.5247   R_M12
