AMNH       169432     Pha1Tosi2
16.2485    6.2234     16.1426
16.2181    6.1925     15.9189
16.1829    6.1533     15.7813
16.1908    6.1127     15.502
16.1662    6.1145     15.2808
16.1935    6.0883     15.0764
16.2187    6.0584     14.9082
16.2955    6.1178     14.6547
16.3746    6.0958     14.5198
16.4518    6.1175     14.397
16.5276    6.1081     14.3124
16.6118    6.1307     14.2351
16.7642    6.1964     14.2126
16.9086    6.2482     14.2441
17.0936    6.3465     14.2961
17.2739    6.5018     14.417
17.4228    6.5814     14.4474
17.4903    6.6484     14.5204













































































































































































6.4651     4.9585     12.797     OP
8.1188     6.4929     13.0364    BA
12.9641    10.8131    12.3792    ST
17.8987    15.2386    13.0825    IV
5.0127     9.783      12.3006    R_PG
6.3468     12.8212    11.0554    R_ZTI
11.5182    13.0764    13.9953    R_M3D
13.3951    15.0501    13.999     R_M12
15.6103    16.5785    14.0428    R_MP3
17.522     17.3527    13.4968    R_PMI
10.946     3.2831     12.6669    L_PG
14.1489    4.0807     11.5952    L_ZTI
15.0769    9.3331     14.1723    L_M3D
17.4021    10.886     14.0983    L_M12
19.1762    12.8948    13.9859    L_MP3
20.1036    14.6267    13.4411    L_PMI
19.7948    17.931     14.0018    O1
18.2232    12.0692    11.1269    O2
8.3737     10.9009    5.6935     O3
5.9851     2.0512     10.4789    O4




















































































































































































10.2826    13.8848    11.4603    RZYGINF
9.8819     13.9044    11.2512
9.5379     13.935     11.1492
9.1201     13.8697    11.1726
8.6344     13.6934    11.3228
8.3387     13.5226    11.4613
8.0637     13.3826    11.5281
7.7824     13.1986    11.5322
7.2352     12.9377    11.4485
6.9356     12.8563    11.4068
6.7671     12.7701    11.342
6.5673     12.7222    11.2587
6.4483     12.6873    11.1762
6.3646     12.632     11.1195


























































































































































































15.648     7.9112     11.7259    LZYGINF
15.6403    7.6772     11.5216
15.6945    7.3689     11.3843
15.7066    7.0862     11.3582
15.6537    6.7982     11.391
15.631     6.459      11.4818
15.5657    6.2726     11.5571
15.3819    6.0529     11.6663
15.1945    5.9548     11.7215
15.0069    5.6628     11.7951
14.8193    5.352      11.8145
14.6666    5.0924     11.8218
14.5048    4.8251     11.7956
14.4242    4.5999     11.7315
14.3328    4.4006     11.6545
14.2489    4.2285     11.5935
14.1685    4.1376     11.5526























































































































































































11.5188    13.0387    13.904     R-ALV
11.5743    13.2433    13.9211
11.6797    13.4138    13.9586
11.7541    13.5529    14.0023
11.8753    13.7263    13.995
12.0453    13.9069    14.0179
12.2021    14.0637    14.0054
12.3202    14.1795    14.0008
12.4667    14.3233    13.9725
12.6209    14.4873    14.009
12.9353    14.7706    13.9574
13.2166    14.9451    13.9763
13.3576    15.04      13.8967
13.5444    15.1898    13.9894
13.7849    15.3707    13.9882
13.9957    15.5354    14.0116
14.2256    15.6521    14.0133
14.3913    15.691     14.0112
14.5466    15.7611    14.0413
14.6923    15.8754    14.0419
14.9024    15.9999    14.0823
15.0223    16.0961    14.1104
15.1757    16.2564    14.1581
15.3143    16.316     14.161
15.4611    16.4578    14.1109
15.5825    16.5795    14.0475














































































































































































15.2247    9.2774     14.1685    L-ALV
15.4746    9.4026     14.231
15.7569    9.5274     14.1946
15.9224    9.6464     14.2074
