UWMA       ZA 1439    Phu106sf
28.1197    11.3643    13.831
28.153     11.3906    13.6909
28.1431    11.4312    13.4901
28.201     11.4744    13.3658
28.2161    11.4667    13.2732
28.2268    11.4835    13.2287







































































































































































27.7848    13.5481    11.9341    LORBIT
27.6909    13.8029    11.9687
27.6058    13.9941    12.0495
27.4842    14.1647    12.1445
27.4159    14.2748    12.1884
27.2738    14.3708    12.2879
27.1701    14.5531    12.3982
27.0251    14.6231    12.5451
26.9059    14.6759    12.6723
26.8335    14.6474    12.7472
26.7722    14.6724    12.8536
26.7356    14.6505    12.9696
26.6689    14.6924    13.1656
26.6619    14.6798    13.2784
26.7309    14.6591    13.4959
26.8338    14.6281    13.7541
26.9417    14.495     13.8893
27.0699    14.4068    14.0401
27.1367    14.2298    14.0977
27.2323    14.0999    14.1382
27.3425    13.927     14.1983
27.489     13.64      14.2114
27.6227    13.3902    14.2061
27.6325    13.1602    14.1717
27.6982    12.972     14.2024
27.7356    12.8678    14.2778
27.8161    12.6274    14.3562
27.8118    12.4279    14.3182
27.8731    12.2484    14.1575
27.8822    12.2196    14.0078
27.8815    12.1761    13.7977
27.9278    12.1186    13.5675
27.9115    12.1199    13.3985
27.9858    12.1107    13.2876
28.0242    12.1003    13.2314
28.0333    12.1288    13.1824
28.0519    12.1358    13.1011



































































































































































27.4829    7.9655     12.9556    RTEMFOS
27.502     7.9446     12.8068
27.5799    7.8848     12.5945
27.6817    7.9087     12.3811
27.8061    7.913      12.17
27.8853    7.9306     12.0295
27.9971    7.9578     11.8873
28.0521    7.9643     11.7639
28.1551    7.9906     11.6081
28.2157    8.0079     11.5035
28.3105    8.0154     11.3619
28.4197    7.987      11.0971
28.5137    8.0214     10.9356
28.6646    7.9406     10.7204
28.6282    7.9154     10.54
28.5818    7.8027     10.4008
28.5184    7.7031     10.2902
28.4026    7.6104     10.2071
28.287     7.5368     10.1655
