TMP        STS 565    Ppj4stv
15.944     9.0029     10.1755
15.9428    8.7904     10.1343
15.9604    8.542      10.135
15.9609    8.3459     10.1002
15.9577    8.1976     10.1054
15.9562    8.0786     10.0807
16.1534    7.5886     9.8724
16.1941    7.3808     9.7421
16.1722    7.14       9.7354
16.3437    7.0151     9.5312
16.3759    6.7859     9.5084
16.438     6.6245     9.4085
16.5298    6.486      9.3187
16.5352    6.3054     9.3446
16.56      6.1123     9.3094
16.6452    5.9319     9.2616
