NME        L345-287   Tb2sf
18.6291    8.2069     -11.2576
18.7098    8.0896     -11.2257
18.7003    7.9707     -11.3022
18.6542    7.8338     -11.4448
18.7726    7.7034     -11.5284
18.5784    7.7268     -11.4612
18.4145    7.7397     -11.351
18.2399    7.7442     -11.3315
18.0937    7.7241     -11.3933
17.8793    7.6543     -11.427
17.7051    7.5871     -11.3922
17.586     7.415      -11.3579
17.3204    7.2781     -11.3657
17.0182    7.0943     -11.2552
16.9058    7.0094     -11.1994
16.6399    6.8464     -11.0863
16.5114    6.7361     -10.996
16.3025    6.5954     -10.9548
16.1632    6.5021     -10.9309
15.9642    6.3422     -10.8107
15.8189    6.1948     -10.6237
15.7272    6.1137     -10.4639
15.6236    6.0211     -10.3875
15.474     5.9194     -10.2981
15.3274    5.7188     -10.1298
15.3197    5.5892     -9.9499
15.1426    5.4299     -9.8398
14.9704    5.319      -9.7321
14.9302    5.1806     -9.658
14.7794    5.0979     -9.5643
14.6729    4.9957     -9.4733
























































































































































9.5655     16.0617    -10.4987   LZYGINF
9.3578     16.1288    -10.4019
9.2215     16.1728    -10.2432
9.0175     16.2293    -10.0896
8.7655     16.4427    -9.9406
8.7088     16.5496    -9.901
8.5892     16.6662    -9.8445
8.3868     16.7985    -9.8369
8.3086     16.8601    -9.8428
8.0649     17.0517    -9.8035
7.865      17.2197    -9.8431
7.5407     17.4186    -10.0721
7.5277     17.6126    -10.1189
7.4674     17.8007    -10.2185
7.4561     17.9025    -10.2892
7.4799     17.9579    -10.6537
7.5004     18.0876    -10.7757
7.4408     18.3639    -10.7478
7.3055     18.4991    -10.7555
6.9833     18.2293    -11.0652
6.8459     18.012     -11.1858
6.7997     17.8168    -11.2958
6.73       17.672     -11.3887
6.7105     17.5427    -11.4236
6.6465     17.3358    -11.4973
6.639      17.2261    -11.4722
6.5653     17.0655    -11.4808
6.528      16.8919    -11.4669
6.4512     16.7403    -11.4465
6.4087     16.5362    -11.4003
6.3815     16.3343    -11.3021
6.28       16.2429    -11.2636
6.1954     16.0619    -11.1571
6.1751     15.8753    -11.0771
6.087      15.7666    -11.0335
6.0517     15.4944    -10.975
6.0532     15.3356    -10.8869
6.0478     15.1871    -10.7785
6.0171     15.0089    -10.6696
5.7344     14.9515    -10.622
5.5796     14.7849    -10.5084
5.4894     14.7196    -10.4308
5.3127     14.5573    -10.2727
5.2205     14.5022    -10.1959
5.0916     14.4204    -10.1144
4.9943     14.3034    -9.958
4.8961     14.2344    -9.897
4.8096     14.1284    -9.8101
4.7289     14.083     -9.7741
4.6668     13.9345    -9.6286






















































































































































14.129     10.3796    -13.0755   R-ALV
14.2901    10.4296    -13.1096
14.4946    10.4708    -13.1491
14.651     10.5056    -13.1536
14.7816    10.6028    -13.1808
14.9098    10.713     -13.1908
15.0705    10.7976    -13.1923
15.2163    10.8591    -13.2173
15.3939    10.9888    -13.2436
15.4808    11.0993    -13.2536
15.64      11.3136    -13.2297
15.7457    11.4332    -13.2369
15.921     11.5727    -13.2779
16.0876    11.7398    -13.3416
16.1897    11.8429    -13.3695
16.2846    12.0149    -13.4317
16.4398    12.131     -13.493
16.5623    12.2515    -13.5172
16.686     12.3826    -13.5397
16.7518    12.5002    -13.5486
16.8283    12.667     -13.5931
16.9       12.738     -13.6293
17.0356    12.8702    -13.6607
17.119     12.9681    -13.7011
17.2459    13.1259    -13.7315
17.3996    13.3194    -13.8347
17.5047    13.5094    -13.8995
17.5648    13.7827    -13.9144
17.646     13.9663    -13.9373
17.665     14.0604    -13.9984
17.8683    14.3437    -14.0863
18.0125    14.5454    -14.1681
18.195     14.7157    -14.2636
18.2916    14.8677    -14.3642
18.4178    15.0321    -14.3903
18.381     15.2308    -14.5103
18.3403    15.3652    -14.5169



































































































































































10.2525    13.9736    -13.2274   L-ALV
10.2484    14.1872    -13.2626
10.3396    14.4172    -13.3029
10.4386    14.6149    -13.2925
10.531     14.7428    -13.2886
10.5782    14.9401    -13.2544
10.6679    15.1248    -13.2806
10.9384    15.3182    -13.3703
11.0415    15.4544    -13.3518
11.1662    15.5785    -13.3887
11.257     15.7549    -13.4209
11.3737    15.8908    -13.456
11.5335    16.0597    -13.4682
11.6108    16.1744    -13.4435
11.683     16.2707    -13.4729
11.7513    16.3945    -13.4885
11.9094    16.514     -13.6034
12.0429    16.5543    -13.6276
12.3211    16.813     -13.6635
12.4587    16.934     -13.6977
12.5527    17.026     -13.805
12.6691    17.1917    -13.8127
12.886     17.3736    -13.9311
13.0372    17.4869    -13.9576
13.38      17.6154    -14.0172
13.5624    17.784     -14.0597
13.6985    17.9177    -14.1052
13.8482    18.0328    -14.1626
13.998     18.1418    -14.2344
14.089     18.2931    -14.2467
14.2019    18.4328    -14.2223
14.4341    18.6876    -14.3792
14.7049    18.641     -14.5381
