UWMA       ZA 726     Phu101sf

















































12.8147    11.6106    11.7901    LORBIT
13.0717    11.5107    11.8672
13.2831    11.3464    11.9493
13.5069    11.3288    12.0692
13.7222    11.4169    12.1617
13.9466    11.3209    12.3251
14.0943    11.3756    12.4703
14.2261    11.4584    12.6213
14.3264    11.5172    12.7589
14.4403    11.5363    12.9925
14.4928    11.5553    13.1345
14.5164    11.526     13.3321
14.5653    11.5453    13.569
14.5414    11.5272    13.7845
14.4686    11.4659    13.9552
14.3782    11.5164    14.1363
14.2814    11.5117    14.2907
14.1039    11.4911    14.614
13.9722    11.5359    14.6906
13.7334    11.6778    14.7126
13.4196    11.7211    14.8144
13.19      11.7938    14.8596
13.0037    11.9128    14.8534
12.8295    12.0188    14.7372
12.6827    12.0761    14.7353
12.5262    12.1425    14.6627
12.383     12.2651    14.557
12.2109    12.4362    14.588
12.07      12.6981    14.6019
11.8968    12.9499    14.4922
11.777     12.9903    14.3033
11.7127    13.0078    13.9295
11.7039    13.0119    13.6893
11.6828    13.0176    13.4646
11.6343    12.9677    13.2995
11.642     12.9453    13.1115
11.5854    12.8602    12.9879
11.5367    12.7831    12.9078
11.4915    12.7139    12.8159

































































































































































8.7975     17.1595    12.8256    RTEMFOS
8.6639     17.1086    12.6245
8.5543     17.0407    12.3927
8.4897     16.9845    12.1936
8.4058     16.8672    12.0676
8.3331     16.7841    11.9312
8.3012     16.7467    11.7752
8.2375     16.6584    11.5761
8.1847     16.5745    11.4323
8.1298     16.5024    11.2638
8.083      16.4503    11.1066
8.0205     16.3783    10.8887
7.9619     16.3458    10.6441
7.8938     16.3133    10.4558
7.8178     16.2275    10.3003
7.7849     16.2166    10.1413
7.7746     16.2426    10.0183
7.7289     16.2084    9.8951
7.661      16.216     9.6991
7.6727     16.337     9.495
7.5947     16.5052    9.3318
7.6902     16.708     9.305
7.7213     16.8909    9.3184
7.7511     17.0678    9.327
7.8004     17.2317    9.3512
7.8735     17.3917    9.3706
7.9709     17.5412    9.4064
7.9969     17.5887    9.4255
8.0339     17.7355    9.4264











































































































































































15.5156    11.4785    13.6373    LTEMFOS
15.444     11.3376    13.3968
15.4132    11.2501    13.1816
15.3898    11.1637    12.9743
15.3153    11.038     12.7786
15.2679    10.9437    12.5832
15.2514    10.871     12.3718
15.194     10.7685    12.1617
15.1634    10.6654    11.9595
15.1398    10.5887    11.763
15.1065    10.5073    11.5947
15.0814    10.4411    11.4559
