TMP        AZ 1001    Phu127sfv
12.6948    7.083      10.9356
12.6427    6.99       10.7517
12.5381    6.9189     10.5452
12.4585    6.9657     10.3908
12.1977    7.2322     10.1214
12.1111    7.4265     10.0618
12.0332    7.6193     10.0439
12.0021    7.7733     10.0867
11.9795    7.8685     10.0752
11.9466    7.9297     10.0804





















































































































































































19.7744    9.4281     12.5859    LTEMFOS
19.8068    9.3201     12.3608
19.8555    9.1568     12.2088
19.8674    9.0312     12.1016
19.8453    9.0046     11.9554
19.8613    8.8726     11.8257
19.8538    8.7484     11.6378
19.8576    8.5728     11.4186
19.8298    8.3497     11.1495
19.8533    8.2607     11.0399
19.8666    8.0921     10.8037
19.8609    8.0245     10.6497
19.8788    7.9307     10.5002
19.8964    7.8563     10.2958
20.0098    7.7946     10.1584
20.1104    7.8947     9.9304
20.16      8.0197     9.817
20.2229    8.1136     9.7566
20.2488    8.2702     9.7213
20.2576    8.4098     9.6732
20.3548    8.5732     9.6476
20.3506    8.6541     9.6534
20.3235    8.8401     9.6734

















































































































































































16.1209    5.7941     13.7234    OP
15.7868    7.9451     12.9847    BA
14.9905    11.8441    11.3002    ST
14.0747    16.9355    10.0865    IV
11.9861    7.2931     12.7018    R_PG
10.7017    9.1654     11.2583    R_ZTI
12.9044    12.129     11.9418    R_M3D
12.0102    14.5827    11.6575    R_M12
12.1017    17.1572    10.824     R_MP3
12.4846    17.8105    10.5211    R_PMI
19.3583    8.5991     12.5729    L_PG
19.9005    10.9385    10.9944    L_ZTI
16.706     12.7841    11.7726    L_M3D
16.7295    15.5575    11.5356    L_M12
15.8496    17.83      10.7293    L_MP3
15.1446    18.2722    10.4736    L_PMI
12.8564    19.2408    9.9007     O1
18.2342    8.6115     6.4747     O2
10.7624    8.0209     11.2882    O3
16.3248    2.5322     11.8327    O4




















































































































































































11.4344    11.8467    10.4707    RZYGINF
11.327     11.6398    10.4054
11.2068    11.512     10.4083
11.0826    11.3016    10.5031
10.9696    10.9871    10.7446
10.9266    10.6142    10.9288
10.788     10.4728    11.0005
10.7685    10.2487    11.022
10.8141    10.0197    11.1045
10.8364    9.8219     11.1671
10.7909    9.6471     11.1926
10.7665    9.5086     11.238
10.7261    9.3419     11.2658
10.6953    9.1436     11.2453


























































































































































































18.1265    13.3648    10.2686    LZYGINF
18.2371    13.1161    10.2387
18.62      12.8542    10.2047
18.8001    12.7594    10.2994
18.9698    12.6218    10.4083
19.1376    12.4891    10.5087
19.282     12.3595    10.5796
19.3857    12.0745    10.7475
19.4322    11.8427    10.8117
19.4665    11.7215    10.8428
19.5609    11.4948    10.8968
19.5904    11.3274    10.9658
19.6758    11.2067    11.0174
19.7994    11.0402    11.0394
19.9173    10.9496    10.9766

























































































































































































12.8492    12.1843    11.962     R-ALV
12.6689    12.3529    11.9611
12.5514    12.4959    11.9777
12.4413    12.6884    12.0057
12.3545    12.8326    12.0193
12.258     13.0332    11.9798
12.2104    13.2073    11.9822
12.1782    13.3462    11.9605
12.1236    13.4769    11.9195
12.0847    13.6145    11.8529
12.0395    13.7755    11.8328
11.9689    14.0098    11.7426
11.9422    14.2425    11.6493
11.976     14.4793    11.5449
11.9969    14.7026    11.5797
11.9765    14.9314    11.516
11.9651    15.1238    11.4736
11.9353    15.2942    11.3546
11.9941    15.5173    11.3489
12.0395    15.7416    11.2743
12.0422    15.9074    11.1907
12.0467    16.0802    11.1843
12.0124    16.2575    11.1212
11.9851    16.417     11.0278
11.9885    16.5426    11.0089
11.9675    16.6313    10.919
11.9511    16.7516    10.8827
11.9543    16.8779    10.8403
11.9676    16.9903    10.7681
12.0046    17.1005    10.6756










































































































































































16.7939    12.8536    11.7043    L-ALV
16.9337    13.0922    11.6549
16.9855    13.2475    11.7036
17.025     13.4473    11.6897
17.0707    13.7221    11.7344
17.0706    13.9438    11.7188
17.0552    14.0948    11.6804
17.0411    14.3812    11.7432
17.0097    14.6239    11.7223
16.9909    14.872     11.6766
16.9825    15.0888    11.6473
16.9092    15.2705    11.5425
16.7797    15.4903    11.475
16.6959    15.7075    11.383
16.6047    15.9309    11.3203
16.5802    16.1114    11.262
16.472     16.3535    11.3151
16.3341    16.5299    11.1588
16.2664    16.7099    11.0565
16.2265    16.859     11.0135
16.1187    17.1479    10.9453
16.0429    17.3692    10.8843
16.0225    17.4622    10.8485
15.9917    17.5527    10.785
15.9591    17.6566    10.7037
15.8761    17.7851    10.6983
