AMNH       54521      See3stv
-2.902     10.5435    9.0397
-3.0236    10.6764    8.9108
-3.1413    10.8689    8.8423
-3.1978    11.1024    8.8367
-3.3146    11.2121    8.8788
-3.3498    11.4001    8.9879
-3.4016    11.5264    9.0486























































































































































































5.0423     10.4176    11.3827    LTEMFOS
5.0771     10.4353    11.2273
5.0696     10.4695    11.0452
5.1254     10.387     10.8354
5.1447     10.3539    10.447
5.1465     10.3066    10.2117
5.146      10.2993    9.9779
5.1547     10.317     9.8095
5.1528     10.3368    9.6533
5.1735     10.3468    9.4202
5.2199     10.3672    9.1906
5.2699     10.4523    8.993
5.3298     10.5364    8.8671
5.4378     10.6763    8.7227
5.567      10.8354    8.6558
5.6489     10.9885    8.635
5.7344     11.2099    8.7079
5.7787     11.3115    8.7572
5.793      11.4021    8.8161





















































































































































































1.3137     7.6262     11.7582    OP
1.2878     9.3277     12.1861    BA
1.4158     13.45      11.5727    ST
1.3281     16.8299    11.8485    IV
-2.3008    9.5657     11.9378    R_PG
-3.5631    12.1314    11.525     R_ZTI
-0.4695    13.4599    12.4849    R_M3D
-0.829     15.097     12.6277    R_M12
-0.5825    16.9792    12.3913    R_MP3
0.2906     18.0636    12.1738    R_PMI
4.9657     9.6004     11.9406    L_PG
6.2248     12.2471    11.459     L_ZTI
3.1636     13.427     12.3883    L_M3D
3.545      15.1018    12.4432    L_M12
3.3628     16.9082    12.3059    L_MP3
2.382      17.9501    12.1762    L_PMI
1.5861     18.79      12.2541    O1
-2.0465    13.6712    7.8809     O2
6.4798     11.4432    11.1166    O3
2.2637     5.5986     9.4136     O4




















































































































































































-1.8023    14.6086    11.7795    RZYGINF
-1.9462    14.5432    11.7516
-2.1197    14.5045    11.7848
-2.3546    14.3939    11.7961
-2.5264    14.3087    11.7821
-2.721     14.1087    11.8115
-2.8691    13.9012    11.8582
-2.9679    13.5885    11.9205
-3.0989    13.3728    11.9154
-3.2046    13.0695    11.9376
-3.2928    12.8804    11.9218
-3.3744    12.7381    11.7826
-3.429     12.4894    11.6598
-3.4708    12.2885    11.6258
-3.5256    12.107     11.5494




























































































































