MNHN       1962.146   Php17stv


















































3.5365     12.5529    10.8209    LZYGINF
3.6827     12.4428    10.7567
3.8227     12.3981    10.7432
3.9136     12.3181    10.7531
4.0615     12.1825    10.8007
4.169      12.0141    10.8664
4.224      11.9002    10.8883
4.4147     11.7035    10.9024
4.449      11.4951    10.9456
4.4634     11.3003    10.9844
4.5104     11.106     10.9892
4.5391     10.91      10.9689
4.6852     10.7004    10.9306
4.8051     10.4901    10.8487
4.9762     10.3172    10.7063
5.0425     10.3015    10.6732
5.1442     10.1702    10.5721
5.2032     10.0608    10.5105
5.2565     9.9686     10.4415
5.2462     9.906      10.4103
5.2593     9.847      10.3821



















































































































































































-1.9102    11.9305    12.0939    R-ALV
-2.1189    12.1632    12.1214
-2.2995    12.4629    12.1787
-2.4072    12.7234    12.2021
-2.4784    13.0309    12.2119
-2.5028    13.3395    12.2595
-2.5588    13.6048    12.1725
-2.5663    13.9262    12.1813
-2.5441    14.1658    12.1375
-2.5017    14.3944    12.1028
-2.458     14.5887    12.1446
-2.4503    14.7773    12.087
-2.4452    15.0048    12.076
-2.388     15.2292    12.025
-2.3266    15.4032    12.0301
-2.2675    15.6263    12.0664
-2.2115    15.8805    12.0446
-2.1611    16.119     12.0578
-2.136     16.4579    12.0471
-2.1087    16.637     12.0607
-2.0691    16.7982    12.0431
-2.0467    16.9747    12.0034
-2.0145    17.0935    12.0694

















































































































































































2.1942     11.9439    11.8327    L-ALV
2.3748     12.2644    11.8764
2.505      12.5033    11.8766
2.5738     12.8007    11.9319
2.6157     13.0231    11.8922
2.6261     13.3649    11.9392
2.6529     13.5717    11.9584
2.6555     13.8532    11.9
2.6371     14.1247    11.8968
2.5358     14.4771    11.8915
2.4858     14.7058    11.8873
2.4499     14.9444    11.9302
2.4521     15.1692    11.9066
2.3794     15.4345    11.8823
2.3555     15.6883    11.9317
2.3364     16.0313    11.9471
2.286      16.386     11.9426
2.276      16.6746    11.8314
2.2635     16.8797    11.7862
2.224      17.0619    11.772
