BNNH       61776      Phk2stv
12.1476    5.9336     8.3159     O2
5.9202     7.5647     4.6705     O3
5.535      0.8543     9.6143     O4




















































































































































































6.9129     9.913      8.6894     RZYGINF
6.8241     9.9976     8.6155
6.7184     10.097     8.571
6.5324     10.1774    8.5663
6.3889     10.2332    8.552
6.2142     10.1221    8.6463
6.1031     10.0777    8.6859
5.9497     9.9443     8.7576
5.7635     9.803      8.7962
5.6026     9.6687     8.8252
5.5086     9.5072     8.8694
5.3186     9.3124     8.8488
5.1984     9.1726     8.8424
5.0645     8.9996     8.8016
4.959      8.8437     8.7759
4.8322     8.7682     8.7415
4.7673     8.6968     8.7196























































































































































































11.7992    6.2183     8.8211     LZYGINF
11.919     6.0886     8.7825
12.0555    5.9468     8.7937
12.1496    5.8149     8.8216
12.0638    5.5716     8.8883
12.055     5.3975     8.9269
11.9991    5.1728     8.9803
11.8832    5.0614     9.0386
11.7836    4.9071     9.0555
11.7139    4.7983     9.0659
11.6531    4.6587     9.0537
11.5613    4.4989     9.0317
11.5647    4.3538     8.9834
11.5045    4.2696     8.9639
11.4294    4.1749     8.9418
11.3632    3.9733     8.878
11.2558    3.8583     8.877
11.1952    3.7766     8.8556






















































































































































































7.7316     9.0723     9.7332     R-ALV
7.7471     9.3082     9.6433
7.8154     9.5579     9.5596
7.9637     9.7241     9.5213
8.1015     9.9141     9.471
8.2359     10.1099    9.4425
8.3801     10.1875    9.4342
8.4301     10.3843    9.2949
8.5567     10.5534    9.3042
8.7848     10.6848    9.2399
8.9351     10.7816    9.139
9.0661     10.9737    9.1439
9.2804     11.0857    8.9859
9.4514     11.2001    8.9201
9.5324     11.3241    8.8628
9.6091     11.3992    8.8215
9.7483     11.4859    8.7724























































































































































































10.6543    6.9419     9.8335     L-ALV
10.8226    6.9828     9.7627
10.9805    7.0523     9.7212
11.1326    7.1584     9.6793
11.2364    7.2418     9.6458
11.336     7.4061     9.6226
11.4214    7.5157     9.6164
11.5376    7.6863     9.5305
11.6476    7.8247     9.5387
11.7589    7.9472     9.4805
11.8359    8.0587     9.4494
11.8847    8.1785     9.4063
11.9111    8.2923     9.3361
11.9372    8.4558     9.23
11.9917    8.5548     9.1846
12.0332    8.6907     9.156
12.0774    8.7793     9.0779
12.1471    8.9898     9.0854
12.2295    9.092      9.0443
12.3331    9.2736     9.0094
12.4148    9.4322     8.9328
12.5162    9.5775     8.8499
12.5383    9.7123     8.8338
