NMNH       452507     Phc7stv
10.0634    15.7294    13.8267
10.0056    15.6432    13.6191
9.9815     15.6013    13.4662
9.9785     15.547     13.2762
9.9254     15.4636    13.0754
9.8989     15.3946    12.9013
9.8798     15.3555    12.77
9.8614     15.324     12.5736
9.8495     15.3014    12.4509
9.8553     15.2586    12.3013
9.8193     15.2383    12.1384
9.7767     15.1793    11.9579
9.7682     15.1554    11.7647
9.7177     15.2207    11.5706
9.6792     15.3225    11.4429
9.6862     15.5495    11.3033
9.7264     15.758     11.2851
9.7269     15.9108    11.296
9.8113     16.2009    11.3693
9.8538     16.3167    11.4115
9.9562     16.4112    11.4809
9.9987     16.5251    11.506
10.0946    16.7029    11.5628
10.1445    16.7937    11.5896













































































































































































16.7817    10.024     14.4648    LTEMFOS
16.8308    9.9906     14.2493
16.8268    9.9217     14.0763
16.7955    9.8884     13.8274
16.7156    9.8039     13.6514
16.6993    9.7821     13.487
16.6767    9.744      13.3341
16.6159    9.7057     13.1705
16.6019    9.67       13.0091
16.5722    9.6638     12.871
16.5289    9.6256     12.7302
16.4681    9.5831     12.5849
16.3583    9.5245     12.3254
16.3343    9.5231     12.163
16.3385    9.4604     11.9727
16.3374    9.441      11.8238
16.3362    9.4045     11.6368
16.351     9.3437     11.4085
16.4095    9.3355     11.3292
16.5547    9.3737     11.2424
16.8097    9.3921     11.1814
17.0083    9.5394     11.2449
17.1735    9.5917     11.2853
17.3628    9.6568     11.3314
17.4584    9.787      11.3995
17.5715    9.8715     11.4798
17.7464    9.9955     11.5437













































































































































































8.8708     7.6471     12.2433    OP
10.3839    9.1418     12.3128    BA
13.6589    12.6453    11.8504    ST
17.9285    17.6469    12.8176    IV
7.4974     11.9916    11.2112    R_PG
8.406      14.4934    10.2136    R_ZTI
12.5011    14.9225    12.768     R_M3D
13.9321    17.073     12.8312    R_M12
15.5711    18.6002    13.1608    R_MP3
17.0934    19.5001    13.4195    R_PMI
13.6327    6.49       12.3357    L_PG
16.2837    7.52       11.576     L_ZTI
15.8549    12.3372    13.4459    L_M3D
17.7827    13.9437    13.5866    L_M12
19.3042    15.6501    13.5887    L_MP3
19.8163    17.4205    13.8198    L_PMI
20.1525    19.3849    13.387     O1
10.3822    13.0289    5.429      O2
16.4154    7.4604     10.7736    O3
8.0699     4.6748     10.3479    O4




















































































































































































11.5819    15.7318    10.2186    RZYGINF
11.3737    15.7461    10.0358
11.2279    15.8361    9.9285
11.0283    15.8821    9.8693
10.7574    15.8669    9.8956
10.505     15.8255    9.9222
10.2878    15.7154    9.9524
10.1618    15.6433    9.9825
10.098     15.5652    10.0152
9.8937     15.3426    10.085
9.7153     15.2088    10.1201
9.501      15.127     10.1512
9.3029     15.0248    10.1897
9.123      14.8517    10.2386
8.9076     14.8045    10.2683
8.737      14.8187    10.242
8.5477     14.7282    10.2077
8.4606     14.6394    10.2166
8.3597     14.4794    10.2041





















































































































































































17.1588    11.047     11.3123    LZYGINF
17.1958    10.739     11.1599
17.2997    10.4856    11.0974
17.3471    10.0889    11.2298
17.3307    9.8583     11.2497
17.2227    9.5859     11.3155
17.0852    9.4008     11.3589
16.9858    9.2147     11.4163
16.8745    9.0635     11.4595
16.7215    8.8621     11.5089
16.6216    8.7077     11.5372
16.5332    8.3706     11.5866
16.4277    8.237      11.5998
16.4176    7.9828     11.6025
16.3695    7.7647     11.5934
16.2271    7.5719     11.5774
























































































































































































12.5044    14.9371    12.8224    R-ALV
12.5574    15.1193    12.83
12.5939    15.3505    12.7977
12.6698    15.6923    12.7563
12.8528    15.8587    12.8238
13.0409    16.0728    12.7966
13.2007    16.269     12.753
13.2733    16.3624    12.7935
13.3945    16.5856    12.7699
13.5858    16.8427    12.7611
13.7962    16.8635    12.8951
13.9455    17.0784    12.8661
14.1611    17.1958    12.8053
14.2328    17.3721    12.868
14.4727    17.5933    12.9437
14.6922    17.7335    12.9522
14.8767    17.8806    13.0203
15.1292    18.0611    13.1342
15.2126    18.2883    13.079
15.2856    18.3876    13.1053
15.414     18.759     13.1428
15.5551    18.7563    13.0526


















































































































































































15.9966    12.3159    13.4535    L-ALV
16.3659    12.357     13.4465
16.6645    12.542     13.4953
