FMNH       98095      Phu57stv
7.6161     14.2983    11.5252
7.6501     14.4031    11.5488
7.7454     14.5423    11.6057
7.7746     14.6296    11.6299
7.8698     14.7662    11.694
7.95       14.7608    11.752











































































































































































14.8351    8.043      14.8861    LTEMFOS
14.8674    8.0137     14.6317
14.8689    7.9529     14.404
14.879     7.925      14.1712
14.8523    7.8712     14.005
14.8204    7.813      13.796
14.791     7.7568     13.5835
14.7682    7.7229     13.4608
14.7615    7.7001     13.3084
14.7448    7.6807     13.1727
14.7272    7.6259     12.9916
14.6903    7.5534     12.7459
14.7031    7.5272     12.6189
14.7129    7.5196     12.4132
14.7154    7.4928     12.3
14.7387    7.4576     12.1511
14.7698    7.4447     12.0301
14.8512    7.4422     11.8332
14.9484    7.4512     11.6576
15.0544    7.5557     11.5659
15.1252    7.5812     11.5108
15.2612    7.646      11.4682
15.3179    7.7245     11.4617
15.5235    7.785      11.4288
15.5809    7.9082     11.4938
15.7517    8.0622     11.5747
15.8128    8.1503     11.6043
15.8973    8.2137     11.6529
15.9873    8.2908     11.7065











































































































































































7.2065     4.9496     12.8811    OP
8.5846     6.8618     13.2763    BA
12.0417    11.3378    14.2421    ST
16.8692    17.2274    16.4052    IV
5.2648     9.6872     12.7571    R_PG
6.1279     12.3796    12.3929    R_ZTI
10.749     13.9169    15.4173    R_M3D
12.5412    16.2118    16.2062    R_M12
14.3096    17.9136    16.9689    R_MP3
15.8691    18.7058    17.3652    R_PMI
12.1333    4.2496     13.0335    L_PG
14.6008    5.6578     12.7605    L_ZTI
14.7658    10.7234    15.7764    L_M3D
16.7305    12.8358    16.4384    L_M12
18.0885    15.0621    17.0872    L_MP3
18.4264    16.7026    17.4691    L_PMI
19.3508    18.9361    17.6641    O1
8.6305     12.2086    6.9558     O2
14.8806    5.7868     11.9493    O3
6.8971     2.5734     10.1081    O4










































































