UWMA       MP221      Ppw1
8.3188     20.4102    9.3328     R_M12
7.2698     18.5409    8.7754     R_MP3
6.2995     17.7901    8.687      R_PMI
9999       9999       9999       L_PG
2.4268     29.2044    7.5195     L_ZTI
4.0858     24.2583    9.3647     L_M3D
3.4045     21.9237    9.2245     L_M12
3.1636     19.6786    8.7336     L_MP3
3.6287     18.5204    8.5631     L_PMI
4.0019     17.7367    7.7967     O1
10.3542    25.7       2.9497     O2
2.4002     29.2152    6.9711     O3
8.9733     34.5789    7.3119     O4




















































































































































































10.1144    22.8229    7.8017     RZYGINF
10.3371    22.8651    7.7447
10.6083    22.9221    7.7725
11.0413    23.0408    7.8317
11.2942    23.195     7.9952
11.5672    23.3467    8.1211
11.6724    23.5632    8.1969
11.7199    23.7363    8.2338
11.901     24.0507    8.2492
12.1042    24.235     8.2456
12.261     24.4342    8.2412
12.349     24.6194    8.2133
12.4542    24.7809    8.1829
12.5789    24.9508    8.1282
12.6365    25.0802    8.1091
12.7512    25.2799    8.0658
12.8719    25.5571    7.9968
12.9321    25.7284    7.9823
13.0467    25.8553    7.9669
13.0725    26.0252    7.9587
13.1638    26.2634    7.8911



















































































































































































3.2269     24.8089    7.6609     LZYGINF
3.0226     24.9635    7.5998
2.7589     25.1358    7.5785
2.5544     25.3207    7.5994
2.4071     25.623     7.6425
2.3849     25.9202    7.713
2.3781     26.2126    7.8077
2.4068     26.4847    7.8413
2.3425     26.8557    7.8608
2.4001     27.1029    7.8614
2.3718     27.356     7.8331
2.4008     27.5478    7.8198
2.404      27.7835    7.7766
2.3425     28.1032    7.7069
2.2615     28.3403    7.6518
2.2217     28.5591    7.592
2.2341     28.7907    7.5045
2.3345     28.9939    7.5239
2.3985     29.1598    7.5367
2.4672     29.2376    7.5231
























































































































