AMNH       80771      Phu10stv
15.2847    4.1646     10.6719
15.3076    3.89       10.6268
15.276     3.7374     10.604
15.2195    3.5292     10.5676
15.1932    3.2991     10.4869
15.0738    3.1595     10.4712
15.0801    3.142      10.4573
15.0126    3.0098     10.3842
14.9934    2.8828     10.3456
14.9549    2.8016     10.3174
14.903     2.703      10.2539

















































































































































































10.9549    9.9572     12.6273    R-ALV
10.9292    10.1422    12.6161
10.9218    10.3062    12.6968
10.9649    10.4591    12.7548
11.0007    10.585     12.786
11.0383    10.7828    12.7953
11.0666    10.8838    12.8168
11.1223    10.9932    12.8655
11.2266    11.1322    12.8964
11.3398    11.2047    12.9807
11.4394    11.2725    13.0216
11.5217    11.3709    13.0642
11.6164    11.4785    13.13
11.7122    11.5971    13.1521
11.765     11.6758    13.1708
11.8454    11.8057    13.1706
11.9141    11.9015    13.2055
12.0029    12.0133    13.1605
12.1746    12.1532    13.2065
12.3116    12.217     13.3167
12.4554    12.2943    13.3021
12.5457    12.3495    13.4545
12.6972    12.52      13.4707
12.7619    12.5787    13.5056
12.8003    12.6232    13.5134
12.8605    12.69      13.5527
12.9007    12.7538    13.5657
13.0151    12.8389    13.6099
13.2046    12.9301    13.6255
13.3612    12.9872    13.6676
13.4979    13.1452    13.5974
13.5628    13.2323    13.6862
13.6378    13.3062    13.7341
13.7022    13.3756    13.7724
13.7891    13.4591    13.7977
13.8846    13.6184    13.8132
13.9712    13.78      13.7955
14.0598    13.8747    13.7942
14.1152    13.9446    13.7842

































































































































































14.195     7.108      12.9326    L-ALV
14.3609    7.1082     12.9259
14.5234    7.1383     12.9848
14.6576    7.1787     13.0245
14.7631    7.222      13.0754
14.8644    7.2466     13.0958
15.0409    7.3074     13.1523
15.2415    7.4429     13.1846
15.3351    7.549      13.2932
15.3842    7.6482     13.3386
15.5013    7.7644     13.3837
15.6902    7.9492     13.4043
15.789     8.0449     13.4254
15.8771    8.1516     13.4982
16.0323    8.3288     13.5928
16.1804    8.4904     13.5638
16.2493    8.6838     13.59
16.3054    8.8396     13.6282
16.4154    8.9967     13.6589
16.4912    9.0763     13.7099
16.6039    9.2059     13.7366
16.7268    9.3366     13.7565
16.838     9.4715     13.7827
16.8761    9.6926     13.8655
17.0058    9.9425     13.8543
17.1381    10.0914    13.868
17.2278    10.2041    13.8949
17.3089    10.2897    13.928
17.4223    10.4151    13.9732
17.545     10.5209    14.013
17.6388    10.5762    14.0176
17.7402    10.6563    14.0264
17.8063    10.7765    14.0471
