MNHN       1901-515   Php15stv
-5.2399    8.615      10.318
-5.2392    8.5427     10.1486
-5.2326    8.5446     10.0091
-5.2425    8.514      9.9262
-5.2479    8.4694     9.8071
-5.3296    8.4601     9.5813
-5.373     8.5103     9.4401
-5.5051    8.5782     9.2828
-5.5627    8.7265     9.1955
-5.6795    8.843      9.1258
-5.8041    9.0823     9.1107
-5.8512    9.2308     9.1263
-5.8866    9.4746     9.2237















































































































































































2.5341     9.2771     12.2399    LTEMFOS
2.6094     9.2268     12.0811
2.6908     9.1736     11.8914
2.7293     9.2263     11.6743
2.7479     9.1611     11.5962
2.6955     9.0849     11.3381
2.718      9.0302     11.2251
2.7393     8.9222     10.9927
2.739      8.8159     10.6884
2.7251     8.7628     10.4889
2.7286     8.6824     10.3537
2.729      8.6382     10.1266
2.7678     8.5593     9.907
2.7997     8.544      9.6491
2.8515     8.5478     9.4967
2.9719     8.5413     9.2852
3.092      8.7651     9.1595
3.1919     8.9544     9.1249
3.2291     9.0653     9.1222
3.291      9.1735     9.1257
3.3845     9.2895     9.1333
3.4333     9.338      9.1518
3.5095     9.4438     9.1543
3.4876     9.5608     9.2742
















































































































































































0.1707     4.0888     12.1867    OP
0.2368     6.2731     12.3442    BA
0.5313     11.3241    11.5236    ST
0.93       16.4111    11.6543    IV
-3.6753    6.4773     11.4642    R_PG
-4.6989    8.9636     10.8284    R_ZTI
-1.7443    11.2051    12.0766    R_M3D
-1.9212    13.821     12.5568    R_M12
-1.2388    16.5815    12.2249    R_MP3
-0.4816    17.6872    12.1172    R_PMI
4.226      6.1355     11.3292    L_PG
5.6        8.4374     10.4962    L_ZTI
2.6072     10.8015    12.0966    L_M3D
3.3974     13.4351    12.5253    L_M12
3.28       16.2687    12.1924    L_MP3
2.5796     17.7962    12.047     L_PMI
1.6441     19.5132    11.7002    O1
-2.9283    9.6562     6.6008     O2
5.6025     8.0966     9.791      O3
0.781      1.5878     9.5221     O4




















































































































































































-3.06      12.0252    11.1005    RZYGINF
-3.226     11.8297    11.095
-3.4245    11.6526    11.0903
-3.596     11.4302    11.1393
-3.7627    11.2523    11.166
-3.8576    11.1312    11.177
-4.0103    10.8512    11.1932
-4.145     10.5733    11.234
-4.219     10.2672    11.2715
-4.3465    10.0542    11.2691
-4.3672    9.8649     11.2218
-4.4503    9.7148     11.2071
-4.5144    9.5592     11.1465
-4.6091    9.3818     11.0544
-4.673     9.2027     10.9935
-4.7326    9.0941     10.9407
-4.7676    9.0323     10.8673
-4.7812    8.9727     10.8251






















































































































































































4.1022     11.7163    11.1082    LZYGINF
4.2371     11.5238    11.0625
4.3938     11.3428    11.0565
4.4778     11.1796    11.0605
4.5404     11.0458    11.0659
4.6237     10.8646    11.08
4.7237     10.7187    11.1229
4.8038     10.5583    11.115
4.8562     10.4095    11.1207
4.9038     10.2115    11.1477
4.975      9.9814     11.1846
5.0613     9.688      11.1696
5.1963     9.3456     11.0847
5.2614     9.1652     11.0063
5.3298     8.9566     10.8727
5.3797     8.7751     10.7933
5.4534     8.6254     10.7109
5.5445     8.5779     10.6316
5.5716     8.5243     10.5855
5.5901     8.4168     10.4909




















































































































































































-1.6802    11.1714    12.1192    R-ALV
-1.8168    11.4357    12.2277
-1.9581    11.7218    12.2753
-2.0931    12.1357    12.2284
-1.9802    12.5897    12.3639
-2.0192    12.8735    12.4657
-2.0126    13.1626    12.5568
-1.9647    13.5721    12.5753
-1.8801    13.8086    12.5886
-1.8327    14.1313    12.5458
-1.7768    14.4469    12.5496
-1.6698    14.7599    12.5324
-1.5582    14.9481    12.5451
-1.5359    15.1688    12.4897
-1.5494    15.338     12.4218
-1.497     15.6029    12.4631
-1.4834    15.7513    12.4571
-1.5027    15.9739    12.3696
-1.4932    16.1614    12.2672
-1.4454    16.3833    12.1455
-1.3311    16.5527    12.1977



















































































































































































2.5619     10.9366    12.1333    L-ALV
2.7469     11.1662    12.1981
2.8667     11.3698    12.2671
3.0229     11.6061    12.3257
3.108      11.8297    12.4189
3.2304     12.1055    12.3869
3.3058     12.3863    12.3942
3.3897     12.6743    12.3811
3.4144     12.9944    12.3919
3.3926     13.2715    12.4355
3.3695     13.5665    12.4373
3.3496     13.7816    12.4452
3.3416     14.0137    12.4414
3.3187     14.3789    12.404
3.2441     14.6656    12.3785
3.2265     14.9316    12.3621
3.234      15.1743    12.3884
3.2385     15.4045    12.3747
3.2579     15.6481    12.3767
3.2726     15.8484    12.3577
3.2953     15.979     12.3121
3.2959     16.1366    12.2582
3.2746     16.2663    12.172
