AMNH       81811      phu3ms5.xls
5.4916     14.4309    -13.6443   LORBIT
5.385      14.575     -13.6876
5.306      14.7654    -13.7321
5.2199     14.9991    -13.8856
5.1782     15.2324    -14.008
5.0901     15.5857    -14.2557
5.0948     15.7344    -14.413
5.1071     15.9099    -14.7497
5.0977     15.9436    -14.9868
5.0662     15.9219    -15.2777
5.0028     15.8096    -15.5478
4.9753     15.6237    -15.7141
4.9574     15.4104    -15.9645
4.9755     15.108     -16.1315
4.9926     14.8723    -16.1799
5.159      14.486     -16.1591
5.2971     14.2296    -16.1411
5.4643     13.9515    -16.1343
5.6069     13.7871    -16.0615
5.8373     13.5315    -16.0158
6.0882     13.5047    -15.9894
6.2127     13.35      -16.0311
6.3465     13.1852    -15.9991
6.5623     13.218     -15.7933
6.6959     13.1906    -15.5341
6.7819     13.2115    -15.3322
6.8034     13.1592    -15.1521
6.8186     13.1119    -14.9616
6.829      13.024     -14.7854











































































































































































11.8043    10.5183    -15.4562   RTEMFOS
11.8622    10.5007    -15.1889
11.9486    10.4543    -14.8728
12.0031    10.42      -14.5253
11.9725    10.3709    -14.2896
11.9301    10.2991    -13.8972
11.8887    10.231     -13.4729
11.8256    10.1374    -13.0388
11.785     9.9874     -12.624
11.9054    9.9        -12.1448
12.2702    10.0174    -11.8421
12.6481    10.0208    -11.7679
13.0773    10.166     -11.7205
13.1925    10.3602    -11.8104
13.4209    10.4917    -11.9049

























































































































































































4.8687     17.2281    -14.7941   LTEMFOS
4.8579     17.2044    -14.7098
4.8339     17.267     -14.4664
4.7754     17.2462    -14.1745
4.7127     17.1917    -13.9259
4.6203     17.1357    -13.6358
4.5975     17.1267    -13.3945
4.5946     17.0946    -13.1375
4.4738     16.9589    -12.8828
4.3999     16.914     -12.5721
4.3937     16.9525    -12.2079
4.367      16.997     -11.9037
4.3793     17.0415    -11.7027
4.4391     17.3949    -11.4443
4.5844     17.795     -11.3545
4.6613     18.1029    -11.3814
4.7353     18.3548    -11.4469
4.7698     18.417     -11.4563

















































































































































