LSZT       R1         Phu188sf
4.1994     9.8494     12.2675
4.2575     9.8508     12.1415
4.3202     9.8186     11.9791
4.4002     9.8246     11.7723
4.4561     9.8141     11.6549
4.5096     9.8772     11.4942
4.6394     9.9868     11.3465
4.7319     10.16      11.2918
4.7647     10.3942    11.2571
4.9279     10.5625    11.2572
4.9995     10.8071    11.2607




















































































































































































-0.3647    4.8663     12.6818    OP
-0.3353    7.249      12.7959    BA
-0.4901    12.7603    12.3638    ST
-0.6349    19.5017    13.7826    IV
-5.1361    7.0697     12.2278    R_PG
-6.8216    9.6827     11.2964    R_ZTI
-3.1081    13.8176    14.2233    R_M3D
-3.3349    16.7195    14.545     R_M12
-3.1818    19.3778    15.2584    R_MP3
-2.7681    21.0177    15.1606    R_PMI
4.3121     7.0689     12.1209    L_PG
5.8309     9.8702     11.2869    L_ZTI
2.1551     13.9127    14.1165    L_M3D
2.2516     16.851     14.6206    L_M12
1.9964     19.5221    15.1943    L_MP3
1.5022     21.0849    15.1146    L_PMI
0.7189     22.4129    14.1577    O1
-4.2036    10.2435    5.4617     O2
5.8223     10.2231    10.149     O3
-1.718     1.8121     9.9673     O4




















































































































































































-4.6952    13.7647    11.5817    RZYGINF
-4.9094    13.4533    11.4416
-5.0874    13.2395    11.2992
-5.2891    12.996     11.204
