TMP        AZ 798     Phu113sf
20.8414    10.7709    11.6706
20.9153    10.5661    11.7205
20.992     10.3778    11.7802
21.0731    10.2037    11.8069
21.1524    10.053     11.7859
21.1618    9.9332     11.7917
























































































































































































14.2525    14.0167    12.5443    R-ALV
14.0897    14.349     12.4303
13.9855    14.6251    12.3282
13.9575    14.8828    12.2995
13.9994    15.1026    12.2564
13.9966    15.2726    12.2231
13.988     15.4568    12.1703
14.0215    15.725     12.0516
13.9828    15.9754    11.9568
14.1088    16.257     11.8708
14.1738    16.4695    11.8265
14.2296    16.7619    11.7023
14.2325    16.9243    11.7047
14.3713    17.2325    11.4172
14.404     17.4757    11.3197
14.3954    17.7683    11.261
14.4184    18.0799    11.2005
14.4087    18.3324    11.1082
14.422     18.5064    11.0526
14.5199    18.6776    11.0455




















































































































































































18.4744    13.839     12.4208    L-ALV
18.6657    14.1118    12.3357
18.7683    14.2558    12.2231
18.8912    14.5335    12.1539
18.9432    14.8078    12.1043
18.9629    15.0999    11.9073
18.9625    15.3874    11.8761
18.9213    15.5807    11.775
18.9826    15.8404    11.7406
18.8762    16.1422    11.5861
18.769     16.3548    11.5033
18.7488    16.5704    11.4153
18.7607    16.807     11.3159
18.5929    17.0508    11.2266
18.5077    17.2541    10.9348
18.5111    17.4648    10.9135
18.5061    17.7562    10.8895
18.4912    17.9933    10.8497
18.4947    18.1955    10.7454
18.491     18.329     10.7079
18.4554    18.5403    10.6543
