NME        AL321-12   To5


























































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































22.8901    -11.5905   12.9082    R-ALV
22.74      -11.7129   12.9436
22.6124    -11.7848   12.9725
22.4798    -11.8291   12.9762
22.33      -11.8968   12.9641
22.2134    -11.9547   12.9607
21.9929    -12.0196   12.9995
21.8587    -12.0625   12.9896
21.7282    -12.0889   12.9892
21.538     -12.1144   13.0198
21.4504    -12.1234   13.0296
21.3118    -12.1511   13.0071
21.1009    -12.191    12.959
20.9238    -12.213    12.9645
20.7663    -12.2057   12.9994
20.5873    -12.1825   13.0196
20.4088    -12.1375   13.0502
20.1951    -12.1183   13.0314
20.0199    -12.0914   13.0434
19.8922    -12.0742   13.0622
19.7367    -12.0405   13.0367
19.5249    -11.9965   12.989
19.3253    -11.9646   12.9717
19.2262    -11.9393   12.9041
19.124     -11.909    12.9977
18.9421    -11.8804   13.0202
18.7121    -11.8302   13.0702
18.6015    -11.8129   13.0752
18.5407    -11.7992   13.1028
18.4079    -11.7683   13.0743
18.326     -11.7775   13.0348
18.1746    -11.7746   12.9819
18.0924    -11.7071   13.0134
18.0601    -11.7103   13.041






































































































































































22.2215    -7.1143    13.2555    L-ALV
22.0784    -7.0182    13.2521
21.9711    -6.9867    13.2807
21.8942    -6.9699    13.2487
21.7953    -6.9596    13.2522
21.6697    -6.9233    13.2168
21.5781    -6.9245    13.222
21.4769    -6.8959    13.2332
21.1189    -6.9282    13.2836
20.9863    -6.9537    13.3297
20.8525    -6.9556    13.331
20.771     -6.9729    13.3353
20.6412    -6.9836    13.3238
20.4767    -6.996     13.2948
20.3996    -7.0231    13.2925
20.2756    -7.0732    13.2874
20.1584    -7.096     13.3132
20.0207    -7.1147    13.3309
19.9018    -7.1856    13.3378
19.6808    -7.2365    13.1815
19.5294    -7.32      13.2374
19.4291    -7.3528    13.2475
19.3507    -7.3973    13.2788
