AMNH       238034     Tg7stv
9.0535     6.6909     8.3838
9.2063     6.9082     8.2571
9.3421     7.1331     8.1879
9.4439     7.2481     8.1665
9.5821     7.406      8.1729
9.6688     7.5573     8.0492
9.7979     7.6969     8.0278
9.914      7.9724     7.9703
9.9201     8.1435     7.9303
10.069     8.3298     7.9312
10.1896    8.5889     7.9272
10.2308    8.7046     7.8965
10.2786    8.8083     7.8516
10.3372    8.9131     7.767
10.4014    9.1047     7.8246
10.4765    9.2518     7.85
10.5546    9.355      7.7827
10.6626    9.5177     7.7208
10.708     9.6089     7.6902
10.8013    9.7577     7.6592
10.905     9.9046     7.6848
11.0044    10.0369    7.6655
11.0292    10.186     7.6837
11.0816    10.2743    7.6411
