TMP        KA 194     Phg2stv
11.9911    18.3778    9.2288
12.0441    18.5988    9.1648
12.176     18.8042    9.0652
12.2059    19.031     9.0603
12.2635    19.2826    9.1334
12.2948    19.4433    9.1324
12.361     19.6833    9.1442
12.3792    19.862     9.1031
12.4626    20.0245    9.0558






















































































































































































16.2395    16.0049    9.774      L-ALV
16.4064    16.2564    9.7103
16.513     16.515     9.6718
16.5634    16.7699    9.6834
16.5428    17.0724    9.6083
16.4756    17.3288    9.6315
16.49      17.6002    9.6097
16.4457    17.8896    9.4952
16.3218    18.0968    9.377
16.3079    18.3512    9.3403
16.3216    18.5786    9.359
16.2461    18.7842    9.2952
16.1941    19.0158    9.1963
16.122     19.197     9.3822
16.0565    19.4455    9.2996
16.0449    19.6616    9.1511
16.0091    19.7712    9.1852
15.9928    19.9004    9.0855
15.9299    20.0031    9.0169
