UWMA       ZA 1442    Phu105stv
21.4879    9.3685     12.2719
21.3255    9.3949     12.2951
21.1989    9.463      12.3265
21.0038    9.503      12.2374
20.8219    9.5093     12.1777
20.6343    9.5088     12.1837
20.4703    9.4885     12.1769
20.3062    9.4419     12.1366
20.1632    9.4167     12.1678
20.004     9.3804     12.1126
19.9165    9.3668     12.1285
19.7601    9.3964     12.062
19.5436    9.4442     12.0059











































































































































































24.5391    13.8724    12.1747    L-ALV
24.2019    14.1431    12.2491
23.9582    14.1962    12.3165
23.7279    14.2364    12.3616
23.4446    14.2831    12.3889
23.1349    14.2494    12.4736
22.8708    14.2324    12.4455
22.6356    14.1914    12.4578
22.3526    14.1809    12.4843
22.0549    14.0926    12.4459
21.8537    13.9718    12.4219
21.5772    13.9006    12.3104
21.3667    13.8689    12.3296
21.2602    13.8407    12.3973
20.9866    13.7725    12.3107
20.8314    13.6242    12.2074
20.6592    13.5428    12.1154
20.4201    13.4946    12.1365
20.1212    13.4679    12.1039
19.8813    13.437     12.1091
19.6362    13.3825    11.959
19.4176    13.3344    11.899
19.2461    13.2612    11.8923
