MNHN       A-3904     Phu168sf
4.2205     11.2227    14.7722    LTEMFOS
4.3303     11.2511    14.5553
4.4066     11.2586    14.4081
4.484      11.2393    14.2881
4.5486     11.1855    14.102
4.5871     11.1036    13.9341
4.6325     11.0827    13.8051
4.6492     11.0008    13.6656
4.6832     10.9219    13.3764
4.7097     10.8347    13.1551
4.7422     10.8201    12.8814
4.7665     10.7361    12.667
4.8133     10.7076    12.4012
4.8146     10.6153    12.0268
4.8385     10.5732    11.8079
4.8625     10.4985    11.5207
4.9255     10.4829    11.1309
5.0643     10.5378    10.8154
5.1611     10.594     10.7255
5.3275     10.7333    10.5869
5.39       10.9173    10.5619
5.4716     11.0476    10.5277
5.5268     11.3983    10.5466
5.5591     11.5985    10.646
















































































































































































-0.3999    3.4448     14.6764    OP
-0.1004    6.0303     14.6113    BA
0.5891     12.2416    13.3325    ST
1.4082     19.5985    11.5132    IV
-4.7781    6.9588     14.1472    R_PG
9999       9999       9999       R_ZTI
-2.0768    14.235     14.3642    R_M3D
-1.6144    17.2798    13.349     R_M12
-0.9971    19.9186    12.8974    R_MP3
-0.5431    21.9337    12.1663    R_PMI
4.7908     5.7712     14.1166    L_PG
6.5672     7.7047     12.7731    L_ZTI
3.436      13.6848    14.3857    L_M3D
3.8219     16.5539    13.4443    L_M12
3.9622     19.5839    12.9491    L_MP3
3.559      21.5004    12.047     L_PMI
2.5712     24.1247    11.2948    O1
-3.1428    9.2458     5.6955     O2
6.707      7.5108     11.4202    O3
-5.5578    4.0918     12.9009    O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































4.3905     11.9348    11.4097    LZYGINF
4.5364     11.7902    11.2932
4.6836     11.6426    11.2584
4.8677     11.5038    11.2412
5.0515     11.4206    11.1894
5.3812     11.3561    11.279
5.5602     11.2715    11.3597
5.6324     10.9456    11.4401
5.6179     10.8038    11.5194
5.6128     10.6245    11.6403
5.5622     10.3739    11.8489
5.5499     10.1919    12.1218
5.5023     9.9805     12.2962
5.5772     9.8184     12.3669
5.658      9.6073     12.4366
5.7594     9.2701     12.5654
5.9313     9.218      12.6074
6.1154     9.0464     12.6395
6.2205     8.8837     12.6189
6.2592     8.6023     12.6866
6.2192     8.2723     12.8796
6.2993     8.0906     12.9274
6.316      7.9266     12.9164
6.4712     7.7353     12.8014
















































































































































































-2.0644    14.1858    14.3232    R-ALV
-2.1718    14.4995    14.2861
-2.1531    15.0136    14.1461
-2.0341    15.3855    13.9982
-2.0246    15.6693    13.8168
-2.0326    15.9867    13.6755
-1.9189    16.3526    13.5765
-1.9542    16.5877    13.4826
-1.8238    16.8007    13.4661
-1.7141    17.0154    13.2989
-1.6659    17.2722    13.3076
-1.6349    17.5333    13.1869
-1.6295    17.8281    13.0975
-1.4432    18.1332    12.9722
-1.3948    18.3654    12.8928
-1.3954    18.6273    12.8065
-1.3235    18.9166    12.691
-1.282     19.1747    12.6268
-1.2532    19.441     12.6679
-1.2795    19.5751    12.6239
-1.2359    19.7598    12.5916
-1.1256    20.1035    12.6543









































































































