NMNH       290065     See6stv



























































-4.4873    12.0842    7.1987     RTEMFOS
-4.5417    11.9991    6.9357
-4.5928    11.8863    6.6932
-4.5895    11.8194    6.5266
-4.6365    11.7118    6.3777
-4.6515    11.6304    6.2364
-4.6823    11.5947    6.0422
-4.6879    11.5602    5.9168
-4.7447    11.4839    5.6002
-4.7686    11.428     5.451
-4.7943    11.41      5.2322
-4.8663    11.3713    5.0486
-4.9628    11.454     4.8482
-5.0403    11.5481    4.7535
-5.1225    11.6503    4.6954
-5.2148    11.7798    4.6485
-5.2574    11.9075    4.6454
-5.2809    11.9936    4.6276






















































































































































































9999       9999       9999       LTEMFOS







































































































































































































9999       9999       9999       OP
9999       9999       9999       BA
2.1196     8.2782     5.8991     ST
2.2761     12.4518    5.7239     IV
-1.9605    4.2814     6.45       R_PG
-3.2261    7.0658     5.6896     R_ZTI
0.1681     9.0211     6.7088     R_M3D
-0.2115    10.8719    6.5488     R_M12
0.0725     12.9175    6.3025     R_MP3
0.9846     14.0719    5.9278     R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
3.9734     8.9026     6.7837     L_M3D
4.5235     10.9132    6.3837     L_M12
4.2618     12.9508    6.2102     L_MP3
3.3712     13.9365    5.8179     L_PMI
2.6356     14.7643    5.8074     O1
4.3767     10.863     5.7286     O2
5.6781     7.5446     1.7963     O3
-3.1327    7.6367     5.4987     O4




















































































































































































-1.4055    9.7708     5.3003     RZYGINF
-1.5069    9.5566     5.3656
-1.6676    9.3818     5.3516
-1.839     9.3089     5.3444
-2.0842    9.2078     5.367
-2.2603    9.0712     5.4574
-2.3687    8.9336     5.5168
-2.4678    8.7523     5.6038
-2.575     8.5876     5.6811
-2.6593    8.4322     5.7481
-2.7419    8.2649     5.8054
-2.8388    8.0986     5.8632
-2.9729    7.8465     5.8689
-3.0175    7.7066     5.831
-3.044     7.48       5.7974
-3.1416    7.2878     5.7812
-3.2036    7.058      5.7017

























