AMNH       169432     Phu1pwl2
2.6979     12.8936    16.109
2.429      12.876     16.1305
2.1794     12.8436    16.1123
1.9387     12.7637    16.1317
1.7035     12.7624    16.1012
1.4402     12.7764    16.0816
0.8621     12.9921    16.2693
0.6616     12.9503    16.2623
0.3941     13.0004    16.225
0.173      12.9002    16.0185
0.1402     12.9196    15.7782
0.063      12.8628    15.4847
0.0216     12.8402    15.2141
-0.0164    12.7472    15.0628
0.0169     12.7397    14.9368
0.0436     12.7254    14.788


















































































































































































-5.095     14.7134    14.1505    RTEMFOS
-5.1242    14.5151    14.0298
-5.184     14.2756    13.8175
-5.1757    14.1621    13.4608
-5.1861    14.0078    13.2631
-5.1715    13.9136    12.9653
-5.1843    13.73      12.6856
-5.1807    13.6442    12.4161
-5.2367    13.4859    12.2024
-5.2756    13.3613    11.937
-5.288     13.406     11.703
-5.3431    13.3915    11.4218
-5.4488    13.2851    11.1928
-5.5081    13.3923    11.0012
-5.6294    13.4998    10.7978
-5.7198    13.7396    10.6676
-5.8339    13.9812    10.6213
-5.9143    14.3095    10.5879
-5.884     14.5864    10.6377
-5.8948    14.8538    10.6206
-5.8763    14.9902    10.7055



















































































































































































4.3817     14.1059    14.7333    LTEMFOS
4.4373     13.9859    14.6369
4.4442     13.852     14.4622
4.447      13.7765    14.2698
4.422      13.6501    13.9967
4.4599     13.5371    13.7952
4.5207     13.4007    13.6528
4.5005     13.3195    13.5284
4.5178     13.1712    13.4207
4.4802     13.0793    13.0577
4.4747     12.9095    12.9114
4.4811     12.8506    12.6144
4.5138     12.716     12.4128
