HLD        R8         Phu190sf
2.7298     10.4774    13.8802
3.0633     10.5574    13.9486
3.2983     10.6422    14.0256
3.5493     10.7735    14.1612
3.7673     10.9222    14.3106
3.8864     11.1321    14.4923
3.9819     11.2717    14.7298
4.0107     11.3594    15.0305
4.0424     11.4286    15.3277
3.9586     11.2557    15.7514
3.7564     11.1197    16.0115
3.5535     10.9889    16.28
3.1816     10.9789    16.317
2.7412     10.7284    16.5639
2.4238     10.7634    16.4022
2.1514     10.7433    16.364
1.8451     10.7184    16.3605
1.5348     10.7956    16.4593
1.0676     10.9386    16.525
0.9215     10.9647    16.306
0.8667     10.9648    16.0145
0.8278     10.9281    15.798
0.7486     10.8679    15.6389
0.6813     10.8215    15.4549
0.6643     10.7394    15.3238














































































































































































-4.7895    12.0972    14.9316    RTEMFOS
-4.8854    11.9652    14.6459
-4.9648    11.7648    14.3025
-5.0004    11.6195    14.0378
-4.9973    11.4871    13.7883
-5.0182    11.34      13.6085
-5.0272    11.1917    13.3192
-5.0236    11.026     13.0179
-4.9933    10.9019    12.7236
-4.9897    10.7497    12.4542
-4.946     10.6226    12.1165
-4.9966    10.5193    11.8286
-5.097     10.3553    11.409
-5.1779    10.3946    11.0913
-5.2586    10.6157    10.8163
-5.3784    10.9954    10.761
-5.512     11.2285    10.7695
-5.5997    11.4615    10.7698
-5.6362    11.6863    10.7844
-5.6502    11.8497    10.8904




















































































































































































4.9292     12.1212    14.8584    LTEMFOS
