LHES       102        Phq2
-13.5716   -25.5113   13.0392
-13.4483   -25.3941   13.0423
-13.1741   -25.2932   12.9705
-12.9953   -25.2205   13.1161
-12.7275   -25.0422   12.9747
-12.5226   -24.9059   13.0062
-12.2202   -24.7531   13.0369
-11.8078   -24.6365   13.1284
-11.5886   -24.5421   13.1393
-11.3287   -24.3823   12.9557
-11.1098   -24.3153   12.973
-10.9471   -24.2837   12.9393
-10.7289   -24.1403   12.9459
-10.3514   -23.9948   13.049
-10.2014   -23.9128   13.0373
-9.9786    -23.7668   12.9477
-9.7911    -23.6793   12.8929




















































































































































































-11.9916   -29.6968   13.0011    L-ALV
-11.7183   -29.6775   12.918
-11.4217   -29.6541   12.9785
-11.2145   -29.6274   12.9181
-10.8235   -29.4628   13.0015
-10.6051   -29.343    12.9954
-10.4375   -29.2651   12.9528
-10.3041   -29.1806   12.9558
-10.1538   -29.1178   12.9789
-9.9352    -29.0556   12.9878
-9.5699    -28.8003   13.0652
-9.5139    -28.6341   12.9941
-9.3229    -28.5109   12.9786
-9.1703    -28.4058   12.9799
-8.9507    -28.2342   13.0005
-8.7401    -28.003    12.9464
-8.5395    -27.8848   12.9344
-8.2895    -27.7726   12.95
-8.1929    -27.6212   13.0665
-7.8622    -27.4855   12.8479
-7.5829    -27.2877   12.7946
