NMNH       356577     Pyn2stv
3.4228     9.2532     6.921
3.4451     9.4471     6.9362
3.4561     9.6981     6.8942
3.4242     9.912      6.8902
3.3503     10.1585    6.8441
3.2842     10.4046    6.765
3.2439     10.5853    6.7618
3.2062     10.7073    6.714
3.1618     10.8783    6.6955
3.0774     11.1447    6.6198
