NME        RVRME  KL 3To3sf
22.2069    -12.4656   14.3794
22.0033    -12.5194   14.3472
21.7826    -12.6307   14.3542
21.6993    -12.6661   14.3098
21.5562    -12.708    14.2714
21.4475    -12.7088   14.2039
21.2246    -12.7208   14.2095
21.0726    -12.7604   14.2338
20.9216    -12.7792   14.2091
20.7447    -12.7881   14.1997
20.4809    -12.8514   14.1948
20.2304    -12.9076   14.2146
19.9813    -12.9123   14.2633
19.6167    -12.8899   14.2484
19.4884    -12.8927   14.2604
19.3012    -12.9083   14.2539
19.1681    -12.8873   14.2442
19.0417    -12.8351   14.2877
18.9253    -12.8602   14.2942
18.8058    -12.8313   14.3331
18.6501    -12.8395   14.3573
18.4622    -12.8131   14.3602
18.3086    -12.7961   14.3983
18.1653    -12.7446   14.4196
17.973     -12.7431   14.4127
17.8237    -12.7562   14.4508
17.6167    -12.7178   14.419
17.5144    -12.703    14.4332
17.3843    -12.6798   14.4214
17.2854    -12.6646   14.4159
17.1147    -12.6501   14.3994
17.0099    -12.6265   14.4256
16.8686    -12.6023   14.4589





































































































































































21.9678    -6.6363    14.8293    L-ALV
21.753     -6.558     14.7977
21.5073    -6.5288    14.7879
21.3749    -6.5329    14.7899
21.2817    -6.5406    14.7971
21.1282    -6.5337    14.7895
20.9761    -6.5426    14.8257
20.8244    -6.5382    14.8264
20.6293    -6.5192    14.843
20.3999    -6.5579    14.8295
20.2715    -6.5583    14.8288
20.1481    -6.548     14.8352
20.0315    -6.5448    14.8349
19.8114    -6.6059    14.8161
19.6612    -6.6152    14.8213
19.4567    -6.6059    14.7902
19.3153    -6.6201    14.8155
19.2261    -6.609     14.8102
19.0846    -6.6132    14.831
18.7385    -6.7983    14.8335
18.5139    -6.916     14.8505
18.4439    -6.9285    14.8343
18.2791    -6.9727    14.8243
18.1265    -7.0245    14.792
17.8967    -7.0983    14.796
17.7677    -7.1016    14.7867
17.4689    -7.289     14.8471
17.3263    -7.3837    14.8338
17.1632    -7.5061    14.8183
16.9971    -7.5334    14.8732
16.8586    -7.6536    15.0045
16.7466    -7.7177    14.9793
16.5482    -7.8693    14.9465
16.379     -7.9608    14.8155
