FSM        47993      Phq7stv
-5.207     9.8106     11.2962
-5.3487    9.7971     11.104
-5.5505    9.9269     10.9483
-5.8441    10.0702    10.9153
-5.9886    10.2435    10.9003
-6.1228    10.4399    10.9237
-6.2316    10.7167    10.9843
-6.2826    10.9354    11.0017
-6.2738    11.0843    11.0363
-6.3191    11.2239    11.0671
-6.4215    11.3905    11.1244












































































































































































4.0242     12.6656    14.2341    LTEMFOS
4.1347     12.6346    14.1308
4.2148     12.6242    13.9794
4.3155     12.5287    13.8149
4.3536     12.4426    13.6446
4.391      12.324     13.4606
4.4177     12.2002    13.2149
4.4308     12.0585    13.042
4.4143     11.9886    12.8571
4.3932     11.8926    12.7012
4.3533     11.8301    12.4859
4.3817     11.7146    12.3184
4.3994     11.6204    12.0116
4.4041     11.5077    11.8093
4.4369     11.4198    11.6253
4.4579     11.3559    11.3907
4.5061     11.2424    11.2032
4.6514     11.2564    10.9904
4.7618     11.4378    10.8002
4.8637     11.5453    10.7327
4.9611     11.6974    10.6831
5.0934     11.9461    10.6442
5.1264     12.2832    10.6296
5.1488     12.5595    10.6502
5.0755     12.796     10.6423
5.0782     13.018     10.7168
5.1206     13.1689    10.757
5.1951     13.3444    10.7916












































































































































































0.4887     5.1278     12.0036    OP
0.4597     7.2277     12.3563    BA
0.2386     12.636     12.5528    ST
0.1426     19.2382    13.2009    IV
-3.7751    7.172      11.8442    R_PG
-5.6016    9.6686     11.1658    R_ZTI
-2.3893    14.1206    14.092     R_M3D
-2.6709    16.8171    14.4919    R_M12
-2.4232    19.5209    14.6198    R_MP3
-1.9726    21.0419    14.518     R_PMI
4.6358     7.3002     12.0062    L_PG
6.2334     9.8152     11.3395    L_ZTI
2.6417     14.0846    14.0898    L_M3D
2.9384     16.9399    14.4974    L_M12
2.666      19.7367    14.5113    L_MP3
1.9112     21.0902    14.5229    L_PMI
-1.5516    22.4905    14.6868    O1
3.5507     10.8704    5.4954     O2
-5.8261    9.4326     10.1925    O3
2.5651     2.3504     9.5716     O4




















































































































































































-4.154     13.6115    11.5223    RZYGINF
-4.4055    13.5715    11.4012
-4.6032    13.4696    11.3694
-4.7651    13.3447    11.4237
-4.9325    13.267     11.4939
-5.2024    13.0692    11.6195
-5.3537    12.9126    11.619
-5.4376    12.6586    11.6632
-5.5348    12.4173    11.6823
-5.6151    12.138     11.6599
-5.6669    11.8421    11.6392
-5.6307    11.6362    11.6527
-5.6296    11.3725    11.6009
-5.6269    11.1658    11.5233
-5.6037    11.0044    11.462
-5.478     10.7183    11.4085
-5.5286    10.4206    11.4102
