UCB LHES   114        Tg6stv
10.35546   5.26687    12.44717
10.42125   5.2393     12.27992
10.45126   5.24045    12.09172
10.47108   5.25206    11.90239
10.46551   5.19787    11.83073
10.45867   5.19414    11.70903
10.47158   5.21045    11.57269
10.49334   5.18767    11.44618
10.49005   5.15257    11.30255
10.52584   5.17312    11.19046
10.5656    5.17089    11.03011
10.63749   5.12507    10.87217
10.69707   5.1583     10.78045
10.78925   5.1447     10.65742
10.93406   5.18453    10.54889
11.12697   5.20946    10.45484
11.31627   5.26394    10.41889
11.49037   5.30718    10.39258
11.61795   5.36379    10.40663
11.79566   5.40782    10.39345













































































































































































5.55287    5.17738    11.53235   OP
6.9529     6.50804    12.03173   BA
10.16957   9.70408    12.4534    ST
13.54949   13.16345   13.42761   IV
4.29673    9.27468    12.11499   R_PG
4.53655    11.40516   11.60596   R_ZTI
8.79553    10.58399   13.1477    R_M3D
10.04813   12.89621   14.00127   R_M12
11.93526   14.38831   14.10258   R_MP3
13.53228   14.63257   14.09928   R_PMI
9.6863     3.91685    11.69997   L_PG
11.85598   4.21274    11.1138    L_ZTI
11.10031   8.42468    13.03352   L_M3D
13.42305   9.80239    14.0019    L_M12
14.87938   11.59539   14.00563   L_MP3
15.23875   13.28772   13.95172   L_PMI
14.1923    14.95351   13.1056    O1
11.9334    7.97347    6.71278    O2
4.08901    11.26231   10.81082   O3
5.2772     3.56172    8.42023    O4




















































































































































































8.03517    12.71922   12.02356   RZYGINF
7.84823    12.66925   11.94434
