NME        AL363-A1   Par1sf






























1.0847     -0.2596    0.4481     LORBIT
1.0822     -0.253     0.4493
1.0773     -0.2449    0.4476
1.0748     -0.2392    0.4497
1.0725     -0.2359    0.4516
1.0677     -0.229     0.4543
1.0631     -0.2237    0.457
1.0562     -0.2204    0.4586
1.0501     -0.2138    0.465
1.045      -0.2101    0.4687
1.0418     -0.2091    0.4728
1.0386     -0.2087    0.476
1.0348     -0.208     0.4807
1.0316     -0.2063    0.4846
1.0282     -0.2054    0.4908
1.0274     -0.204     0.4946
1.0246     -0.2047    0.5008
1.0212     -0.2026    0.504
1.0272     -0.2109    0.5129
1.0317     -0.2123    0.5179
1.0331     -0.2179    0.52
1.0386     -0.2223    0.5254
1.0431     -0.2256    0.5294
1.0466     -0.2306    0.5308
1.0509     -0.2334    0.5321
1.0545     -0.2355    0.5329
1.0586     -0.2406    0.5367
1.0591     -0.243     0.5362
1.0602     -0.2472    0.5362
1.0623     -0.2521    0.5358
1.0626     -0.2568    0.5348
1.0648     -0.2641    0.5356
1.0646     -0.2709    0.5361
1.0621     -0.2873    0.5461
1.0672     -0.2973    0.5416
1.0691     -0.3008    0.5337
1.0708     -0.3014    0.5224
1.0734     -0.301     0.5137
1.0743     -0.3007    0.5062
1.0733     -0.2995    0.5002
1.0748     -0.2986    0.4961
1.0761     -0.2973    0.4916






























































































































































1.0522     -0.4936    0.4953     RTEMFOS
1.0552     -0.4948    0.4885
1.0569     -0.4966    0.4846
1.0585     -0.4955    0.4791
1.0617     -0.4961    0.4742
1.0682     -0.4953    0.4655
1.0773     -0.4967    0.4525
1.0789     -0.4948    0.4412
1.0838     -0.4963    0.4362
1.0879     -0.4945    0.4309
1.0904     -0.4929    0.4265
1.0937     -0.4909    0.4223
1.0961     -0.4904    0.4173
1.0983     -0.4895    0.4132
1.1006     -0.4881    0.4087
1.1023     -0.4876    0.4055
1.1041     -0.487     0.4025
1.1046     -0.4862    0.3975
1.1058     -0.4868    0.3942
1.1088     -0.4872    0.3916
1.1095     -0.4928    0.3858
1.1097     -0.4956    0.3821
1.1081     -0.4979    0.3776
1.1022     -0.502     0.3787
1.0983     -0.5058    0.3762
1.0957     -0.5084    0.3773
1.0917     -0.5138    0.3791
1.0864     -0.5156    0.3803
1.0833     -0.5207    0.3798
1.0793     -0.5231    0.3802
1.0762     -0.5265    0.3801
1.0711     -0.531     0.3809
1.0686     -0.5325    0.3827
1.0669     -0.5345    0.3861
1.0608     -0.5388    0.3884
1.0567     -0.5416    0.389
1.052      -0.5427    0.3911


















































































































































