MNHN       1970.410   Phk41stv
-1.7828    15.563     11.9516
-1.768     15.754     11.9499
-1.6822    16.0031    12.0801
-1.6606    16.165     12.0653
-1.6429    16.2603    12.0416
-1.6083    16.3253    12.037





















































































































































































1.9942     12.4596    12.1107    L-ALV
2.1488     12.6373    12.0995
2.2004     12.9153    12.1768
2.2804     13.3301    12.0977
2.2372     13.5622    12.1231
2.2574     13.8911    12.0114
2.318      14.1069    12.1066
2.2213     14.4802    12.1194
2.1927     14.6809    12.1768
2.2126     14.8786    12.0929
2.2034     15.129     12.0946
2.0901     15.2733    12.1419
2.0431     15.525     12.1258
2.044      15.708     12.1288
2.0033     16.0051    12.1477
1.9788     16.112     12.1766
1.8916     16.3971    12.1542
