BNMM       FC 346     Phbots1sf2
-4.7969    12.7939    10.6126
-4.8244    13.0062    10.7529
-4.882    13.2826     10.963
-4.9643    13.5219    11.0309
-5.015    13.7073    11.1006
-5.0672    13.9537    11.1985
-5.1454    14.2358    11.1999
-5.1902     14.407    11.1988
-5.2604    14.6393     11.165























































































































































































9999       9999       9999    LZYGINF







































































































































































































-2.0188    11.6534    11.3902    R-ALV
-2.1422    11.2928    11.3534
-2.3749    10.8365    11.3136
-2.397    10.4707    11.2749
-2.3934    10.0617    11.3017
-2.4328     9.6848    11.3301
-2.499     9.4412    11.3562
-2.4494     9.0275    11.3754
-2.4202     8.6637    11.3781
-2.4377     8.2565    11.2831
-2.4248     7.9652    11.3257
-2.4184     7.6707    11.1613
-2.4663      7.282    11.1336
-2.489     7.0404    11.0079
-2.4265     6.7907    10.9608
-2.45     6.5269    10.9071
























































































































































































9999       9999       9999       L-ALV
