AMNH       119761     laj3ms5.xls












































































9.8391     12.3832    -9.2285    L-ALV
9.8531     12.6583    -9.2363
9.9265     13.0159    -9.2053
10.0907    13.3066    -9.1693
10.2354    13.5753    -9.1074
10.4569    13.8114    -9.064
10.6666    14.0241    -9.0342
10.8881    14.2537    -8.9728
11.1458    14.4202    -8.895
11.3418    14.64      -8.8201
11.5662    14.8647    -8.8101
11.6617    15.0169    -8.7509
11.8321    15.0741    -8.7207



























































































































































































12.7672    7.9638     -8.4092    R_FOS
9.1689     9.7504     -8.0236    L_FOS
