AMNH       201520     laa5ms.xls











































































































14.2079    9.1626     -6.3392    RZYGINF
14.1348    9.0153     -6.3605
14.0428    8.7754     -6.3603
13.9934    8.5794     -6.3826
13.8852    8.4006     -6.3831
13.8234    8.2618     -6.3958
13.7241    8.1114     -6.3943
13.6101    7.9622     -6.3418
13.5194    7.7612     -6.2566
13.4182    7.6294     -6.1884
13.296     7.4979     -6.1443
13.1878    7.4095     -6.1235
13.0673    7.2693     -6.1129
12.9769    7.129      -6.052
12.9135    7.0647     -5.9768

























































































































































































10.7025    13.4319    -6.219     LZYGINF
10.5866    13.4579    -6.2446
10.4272    13.4708    -6.2919
10.228     13.4671    -6.3598
9.9922     13.4625    -6.385
9.8044     13.3846    -6.4024
9.6095     13.2941    -6.4198
9.3893     13.2489    -6.3486
9.203      13.1629    -6.2953
8.9669     13.0527    -6.2409
8.8074     12.9871    -6.2201
8.6653     12.858     -6.1833
8.5367     12.7868    -6.1649
8.4135     12.7383    -6.1446
8.3074     12.6949    -6.1064
8.2691     12.636     -6.0821
























































































































































































12.3999    9.3936     -6.9084    R-ALV
12.5085    9.3762     -6.8985
12.6366    9.3827     -6.8611
12.7706    9.4053     -6.9056
12.8908    9.4353     -6.8478
13.0375    9.5448     -6.9201
13.1753    9.6269     -6.9197
13.2932    9.7061     -6.9134
13.3954    9.7962     -6.933
13.4856    9.8493     -6.9365
13.5661    9.9393     -6.9362
13.6513    10.0183    -6.9247
13.755     10.1092    -6.9095
13.8142    10.1796    -6.932
13.8462    10.2277    -6.9493
13.9249    10.2767    -6.9292
14.0415    10.3453    -6.9191
14.0962    10.5416    -6.8828
14.1711    10.6532    -6.8848
14.3112    10.7482    -6.8332
14.396     10.894     -6.8728
14.4721    10.9874    -6.8745
14.5139    11.0709    -6.8891
14.6555    11.1894    -6.8609
14.737     11.3161    -6.8382
14.7675    11.3929    -6.8472














































































































































































10.509     11.7069    -6.9307    L-ALV
