NMNH       220094     lal1ms.xls
































































10.8275    7.4337     9.6291     LORBIT
11.4394    7.281      9.8355
11.5138    7.2763     9.8954
11.5759    7.2728     9.9552
11.6687    7.2942     10.0905
11.7445    7.3058     10.1803
11.8055    7.3069     10.2613
11.8663    7.3137     10.3638
11.8805    7.2927     10.4106
11.912     7.2952     10.463
11.9317    7.3136     10.6296
11.967     7.3279     10.6463
11.9365    7.3583     10.8026
11.9436    7.3471     10.8601
11.9175    7.3385     10.9623
11.8476    7.3187     11.1136
11.7683    7.3614     11.2188
11.7256    7.3577     11.3106
11.6681    7.3711     11.3998
11.6201    7.416      11.447
11.506     7.4302     11.5533
11.4611    7.4114     11.641
11.4138    7.379      11.7
11.3518    7.3847     11.7165
11.1683    7.4047     11.7857
11.0358    7.4003     11.7924
10.9037    7.4203     11.8368
10.7971    7.4471     11.8227
10.6677    7.4802     11.8331
10.5842    7.5326     11.8196
10.4981    7.5804     11.7866
10.4252    7.6804     11.7823
10.3125    7.732      11.807
10.3057    7.7764     11.83
10.2273    7.8837     11.8545
10.1339    7.9326     11.8798
10.0207    8.0273     11.8212
9.9455     8.0307     11.8098
9.8677     8.1229     11.7196
9.8101     8.1731     11.6615
9.7497     8.1461     11.6116
9.7298     8.2125     11.5208
9.6922     8.2387     11.418
9.6764     8.2674     11.3296
9.6605     8.2767     11.2784
9.6647     8.2807     11.2333
9.6852     8.3013     11.1261
9.6836     8.3011     11.0719
9.7186     8.3819     10.9686























































































































































7.0967     10.9857    11.2603    RTEMFOS
7.079      11.0781    11.198
7.0864     11.0698    11.0812
7.0155     11.1331    10.9999
6.9843     11.1323    10.9295
6.9416     11.1226    10.7889
6.9689     11.0354    10.6339
6.9518     10.96      10.5018
6.9584     10.9573    10.4141
6.9448     10.9412    10.2902
6.9223     10.9547    10.218
6.9056     10.9464    10.0603
6.8786     10.9178    9.8811
6.9236     10.8978    9.7445
6.9097     10.8466    9.5307
6.8967     10.7651    9.3407
6.873      10.7598    9.1391
6.8491     10.7777    8.974
6.8497     10.9058    8.8054
6.8387     10.9898    8.7227
6.8381     11.1365    8.6723
6.8371     11.2872    8.662
6.8407     11.4591    8.6645
6.8501     11.5431    8.71
6.8419     11.6853    8.7577
6.796      11.8305    8.8374
6.8283     11.8896    8.8858
6.8504     11.9901    8.9458
6.8577     12.019     8.9991
6.757      12.1624    9.0359
6.7698     12.2825    9.1048









































































































































































