NMNH       481746     cta4ms.xls
11.4845    7.951      10.0164
11.3709    8.0305     10.0669
11.1596    8.088      10.1684
10.9903    8.1723     10.2413
10.8399    8.2492     10.2379
10.7644    8.2964     10.2793
10.6927    8.325      10.2873
10.6251    8.4013     10.2364
10.5736    8.4725     10.2282
10.5204    8.5155     10.2432
10.4314    8.532      10.2697
10.4094    8.5933     10.2468
10.3222    8.6336     10.258
10.2708    8.7084     10.2343
10.2199    8.7545     10.2245
10.1598    8.7911     10.1862
10.1208    8.8384     10.1512
10.0915    8.9093     10.0579
9.9937     8.971      9.7037
9.9691     8.9559     9.5947
9.9544     8.9855     9.5404
9.9417     8.9982     9.4127
9.8837     8.9855     9.3243
9.8923     8.9772     9.2234
9.8604     8.9461     9.1818
9.8158     8.9185     9.0894
























































































































































8.6387     12.0996    9.5431     RTEMFOS
8.6191     12.1046    9.4427
8.5772     12.1265    9.2806
8.5738     12.1575    9.1699
8.5395     12.1721    9.0281
8.5021     12.1606    8.8773
8.4811     12.1778    8.733
8.4509     12.2008    8.5884
8.4234     12.1704    8.3952
8.3883     12.1641    8.2491
8.3627     12.1372    8.0447
8.3543     12.1281    7.8458
8.3458     12.1478    7.7194
8.3599     12.175     7.5707
8.3286     12.2054    7.4132
8.3442     12.2621    7.3155
8.4135     12.3809    7.2059
8.4143     12.4532    7.1392
8.5086     12.5779    7.0953
8.503      12.6684    7.0914
8.5729     12.7142    7.0955
8.6133     12.7487    7.1102
8.6533     12.8372    7.1529

















































































































































































12.5385    7.7887     9.256      LTEMFOS
12.52      7.7493     9.0745
12.4962    7.7379     8.8752
12.501     7.7439     8.6803
12.4946    7.717      8.5281
12.4889    7.6575     8.3739
12.487     7.6185     8.2083
12.5116    7.5599     8.0509
12.453     7.5444     7.8477
12.4371    7.524      7.6417
12.4183    7.4593     7.4497
12.4374    7.4367     7.3137
12.5151    7.479      7.1637
12.5945    7.5195     7.0606
12.6478    7.5446     7.0146
12.7241    7.5556     6.98
12.7719    7.5539     6.9624
12.8542    7.5909     6.9456
12.9638    7.6523     6.9545
13.0209    7.6891     6.9639
13.0598    7.7092     6.9902
13.1088    7.73       7.006
13.1598    7.7558     7.0126

















































































































































































8.4767     7.7336     9.1351     OP
9.5553     8.9084     8.8831     BA
11.5474    10.9508    7.6467     ST
13.5709    12.8643    6.8975     IV
7.6097     10.9688    8.2329     R_PG
8.3852     12.8786    7.5625     R_ZTI
10.4791    11.9458    8.2096     R_M3D
11.2657    13.2102    7.9307     R_M12
12.7971    14.0086    7.5303     R_MP3
13.2965    14.1937    7.2033     R_PMI
11.6414    7.0469     8.1128     L_PG
13.4224    7.8326     7.5622     L_ZTI
12.5498    9.8761     8.0649     L_M3D
13.7429    10.6703    7.9268     L_M12
14.6919    12.1736    7.4244     L_MP3
14.7455    12.6667    7.2981     L_PMI
14.6246    12.1972    6.8677     O1
