AMNH       118806     ctt3ms.xls























11.899     16.7773    -9.234     LTEMFOS
11.8127    16.7812    -9.0524
11.7347    16.709     -8.8204
11.5923    16.6666    -8.6004
11.5104    16.6417    -8.3684
11.442     16.6119    -8.1936
11.3854    16.5728    -7.998
11.3207    16.5729    -7.8101
11.2822    16.5921    -7.6509
11.2707    16.6952    -7.4595
11.3259    16.8651    -7.3398
11.4523    17.0933    -7.2783
11.4843    17.2924    -7.276
11.5552    17.3996    -7.2959
11.6086    17.471     -7.3209

























































































































































































9.0691     11.028     -7.3195    OP
10.4788    11.9181    -7.7748    BA
13.9657    14.47      -8.137     ST
17.3093    16.8787    -8.6935    IV
12.685     9.3245     -7.0163    R_PG
15.1199    9.995      -6.769     R_ZTI
15.1143    12.97      -8.953     R_M3D
16.7018    13.6923    -9.2308    R_M12
18.2712    15.1998    -9.3608    R_MP3
18.8026    16.1452    -9.061     R_PMI
8.5843     15.0248    -7.4513    L_PG
9.9059     17.0393    -7.2146    L_ZTI
12.8646    15.9798    -9.2524    L_M3D
13.9866    17.2654    -9.4262    L_M12
15.8835    18.2964    -9.4264    L_MP3
16.9392    18.5162    -9.0795    L_PMI
19.452     16.9842    -9.8617    O1
12.398     18.1622    -7.2891    O2
7.5683     14.0482    -5.6255    O3
7.4803     10.9982    -5.1933    O4




















































































































































































16.576     12.2272    -7.6978    RZYGINF
16.5391    12.0603    -7.6416
16.4698    11.917     -7.6439
16.3588    11.6851    -7.5988
16.2543    11.4751    -7.5454
16.1853    11.3172    -7.4583
16.0546    11.128     -7.3812
15.9471    10.9247    -7.3206
15.8386    10.8139    -7.2973
15.7774    10.6831    -7.2337
15.6431    10.5689    -7.1473
15.5289    10.4055    -7.0727
15.3927    10.2392    -6.9749
15.3055    10.1172    -6.9089
15.2292    10.0701    -6.892
15.0764    9.9449     -6.7908
























































































































































































12.4515    17.6455    -7.9868    LZYGINF
12.254     17.6197    -7.9544
11.9873    17.5886    -7.9128
11.6758    17.5564    -7.8494
11.3919    17.5161    -7.7837
11.0868    17.4243    -7.6883
10.7817    17.3229    -7.5862
