AMNH       119726     laj38ms.xls
















































8.0591     12.4827    -7.8225    LTEMFOS
7.9791     12.4484    -7.6152
7.9194     12.3767    -7.4078
7.8697     12.2974    -7.2233
7.7907     12.1549    -6.9906
7.6621     11.9749    -6.6166
7.6045     11.8943    -6.3364
7.5901     11.9518    -6.0848
7.6826     12.1918    -5.8917
7.7614     12.3532    -5.8156
7.8397     12.5401    -5.8099
7.9476     12.7482    -5.871
7.9808     12.8539    -5.938
7.9968     12.9369    -5.9756
8.0141     13.0323    -6.0095

























































































































































































6.9311     7.1632     -6.3315    OP
8.2989     8.2363     -6.7573    BA
11.3885    10.7499    -6.3121    ST
14.2161    12.9084    -6.5918    IV
10.8172    6.2872     -6.1267    R_PG
12.7238    7.1961     -5.877     R_ZTI
12.3323    9.6092     -6.9733    R_M3D
13.628     10.3024    -7.1508    R_M12
14.8245    11.4247    -7.0874    R_MP3
15.2616    12.1252    -6.9613    R_PMI
6.7829     11.1576    -6.1981    L_PG
8.051      12.9264    -6.0193    L_ZTI
10.3581    11.9657    -7.0741    L_M3D
11.2956    13.0305    -7.2086    L_M12
12.7303    13.8222    -7.0833    L_MP3
13.7143    14.1248    -6.9523    L_PMI
15.2062    11.7063    -7.2408    O1
10.3256    13.9944    -5.9992    O2
5.6482     10.5952    -5.4634    O3
4.9766     7.1987     -4.6117    O4




















































































































































































13.9897    9.3045     -6.5213    RZYGINF
14.0262    9.2092     -6.5258
14.0063    9.0275     -6.6159
13.9351    8.8086     -6.6328
13.7962    8.635      -6.6057
13.6523    8.4559     -6.5281
13.5697    8.3232     -6.4437
13.4172    8.1226     -6.3125
13.2946    7.8832     -6.222
13.1516    7.7327     -6.0882
13.0651    7.5561     -6.0026
12.8987    7.3469     -5.8979
12.8561    7.277      -5.8591
12.7916    7.2197     -5.8249


























































































































































































10.3937    13.4902    -6.5922    LZYGINF
10.2554    13.5486    -6.5993
10.0967    13.5646    -6.6324
9.917      13.5383    -6.6385
9.7948     13.5066    -6.653
9.6009     13.4115    -6.6437
