NMNH       45242      laj41ms.xls
8.9372     10.3897    11.1454
8.9557     10.2999    11.1434
9.0514     10.1981    11.1207
9.0549     10.1386    11.117
9.1097     10.0498    11.1251
9.1485     9.9697     11.1122
9.1791     9.9437     11.0955
9.2446     9.8696     11.0931
9.2638     9.8078     11.1144
9.3092     9.7561     11.1657
9.4029     9.6978     11.1619
9.4893     9.6218     11.1564
9.5657     9.5528     11.1225
9.6187     9.4939     11.1023
9.653      9.4268     11.0602
9.7039     9.4128     11.0226
9.7161     9.3576     10.993
9.7452     9.3112     10.9314
9.7867     9.3102     10.8472
9.8107     9.2863     10.7899
9.8549     9.2704     10.6909
9.865      9.2463     10.6671
9.8936     9.2433     10.5897
9.8978     9.2271     10.5391



















































































































































11.3147    7.6663     9.3679     LORBIT
11.4499    7.6223     9.3703
11.5836    7.5733     9.3879
11.7088    7.5459     9.4504
11.8493    7.482      9.4936
12.03      7.4341     9.5744
12.1009    7.4132     9.6233
12.2106    7.3995     9.6909
12.2862    7.3649     9.7618
12.3798    7.3221     9.8648
12.4737    7.306      9.9784
12.5672    7.267      10.0972
12.5598    7.2761     10.1452
12.5168    7.2894     10.3105
12.4495    7.3143     10.4433
12.3608    7.3113     10.5508
12.2417    7.3541     10.719
12.1301    7.3654     10.808
12.0714    7.3735     10.8677
11.9506    7.3581     11.0055
11.8763    7.3664     11.1097
11.7788    7.4124     11.1073
11.7166    7.4613     11.1203
11.6372    7.5391     11.1222
11.582     7.5976     11.1134
11.4791    7.6446     11.1335
11.3711    7.7085     11.1217
11.3037    7.7437     11.1074
11.2148    7.8221     11.1133
11.126     7.8655     11.1002
11.1074    7.9412     11.0942
11.0518    7.984      11.0875
11.0431    8.0111     11.1059
10.9327    7.9987     11.1478
10.8665    8.1343     11.0671
10.7561    8.1933     11.1333
10.6482    8.2793     11.0985
10.5827    8.3504     11.0553
10.5356    8.4246     10.9888
10.4773    8.4751     10.8857
10.4498    8.5227     10.7852
10.457     8.5797     10.6835
10.4668    8.6411     10.6008
10.4914    8.7264     10.502




























































































































































8.6874     12.0575    10.1871    RTEMFOS
8.6844     12.0489    10.0924
8.6769     12.0634    9.9843
8.6983     12.0493    9.8844
8.6631     12.0549    9.7869
8.6571     12.0424    9.6404
8.6498     12.0194    9.5514
8.6332     12.013     9.4058
8.6178     12.0219    9.2699
8.616      11.9902    9.1422
8.6215     11.9674    9.0366
8.6073     11.9532    8.8919
8.5845     11.9604    8.7288
8.5731     11.9656    8.6177
8.579      12.0106    8.5199
8.585      12.0828    8.4225
8.6357     12.2174    8.3091
8.7156     12.3476    8.2635
8.7463     12.4121    8.2443
8.8008     12.508     8.2236
8.8632     12.65      8.2383
8.9226     12.7363    8.2647
8.9411     12.8025    8.2928
8.9869     12.8521    8.3332
9.0164     12.8888    8.3744
9.0382     12.9461    8.4118
9.0507     12.9821    8.4354
9.1119     13.0328    8.4933












































































































































































13.1094    7.1977     10.0619    LTEMFOS
13.0959    7.1854     9.9681
13.1594    7.2055     9.8829
13.1489    7.1917     9.7784
13.1433    7.21       9.7067
13.1329    7.2025     9.5863
13.1013    7.1952     9.5068
13.088     7.1932     9.3748
13.0669    7.1997     9.279
13.0485    7.1781     9.1908
12.9896    7.0798     9.0989
12.9952    7.0991     8.9994
12.9601    7.0811     8.8455
13.0147    7.0967     8.6695
13.1038    7.1323     8.5281
13.1952    7.1568     8.4468
13.3473    7.1869     8.3781
13.4527    7.2386     8.3453
13.5376    7.2782     8.3294
13.6265    7.3203     8.3433
13.6918    7.3423     8.3549
13.8       7.3988     8.3983
13.8782    7.4511     8.4485
13.9057    7.4576     8.474
13.9579    7.4786     8.4882
14.0051    7.4986     8.5434














































































































































































5.3002     4.3491     8.7277     OP
6.4229     5.5134     9.0269     BA
9.0521     8.4202     8.1053     ST
11.6933    11.2142    7.2962     IV
4.6836     8.1802     8.3504     R_PG
5.4436     10.2886    7.9701     R_ZTI
8.3177     9.964      8.8989     R_M3D
8.9279     11.2381    8.4746     R_M12
9999       9999       9999       R_MP3
11.1284    12.5319    7.5593     R_PMI
9.1516     3.9677     8.2847     L_PG
11.0923    4.9327     7.8114     L_ZTI
10.5047    7.7653     8.8785     L_M3D
11.8613    8.4732     8.4074     L_M12
12.7533    9.9455     7.9677     L_MP3
13.1191    10.7361    7.4039     L_PMI
13.0511    11.4286    6.5761     O1
12.2114    7.2627     6.2173     O2
8.0763     2.9542     7.0039     O3
4.3292     2.6254     6.2684     O4




















































































































































































7.8303     11.3343    7.9862     RZYGINF
7.6785     11.4044    7.9533
7.6207     11.4224    7.9837
7.494      11.4309    8.0869
7.3375     11.4452    8.1898
7.1747     11.4567    8.2477
7.0532     11.419     8.265
6.9155     11.3265    8.2968
6.7918     11.2391    8.3154
6.6726     11.106     8.291
6.5681     11.0329    8.2848
6.4564     10.9325    8.2373
6.3366     10.8503    8.1931
6.2234     10.7825    8.1621
6.0562     10.6847    8.1283
5.955      10.5956    8.0898
5.8655     10.5424    8.0718
5.8085     10.5132    8.0757
5.7248     10.4023    8.0159
5.6387     10.3698    7.9968
5.5899     10.3042    7.9739
5.5449     10.2714    7.9682


















































































































































































11.937     7.3189     7.8485     LZYGINF
11.9765    7.2375     7.8137
12.0564    7.1281     7.8318
12.0953    7.0157     7.9125
12.1052    6.9568     8.011
12.1097    6.8997     8.0286
12.1025    6.7366     8.1652
12.0536    6.6507     8.1929
11.9839    6.493      8.2094
11.9246    6.4292     8.2391
11.8475    6.3155     8.2243
11.8258    6.2509     8.2256
11.7659    6.1332     8.1926
11.7035    6.0176     8.1666
11.6766    5.9513     8.1216
11.6062    5.8538     8.0781
11.5287    5.7189     8.0468
11.4654    5.6301     8.0172
11.4643    5.5723     7.9975
11.4103    5.4772     7.9445
11.352     5.3846     7.9109
11.3041    5.3174     7.9016
11.2231    5.206      7.8779
11.1498    5.1239     7.8478
11.1152    5.0568     7.8503
11.1041    5.0103     7.8214
11.0539    4.9402     7.8091













































































































































































9999       9999       9999       R-ALV







































































































































































































10.4914    7.7736     8.8889     L-ALV
10.5722    7.7373     8.851
10.6966    7.754      8.8031
10.8107    7.7685     8.7262
10.9235    7.7738     8.6709
11.0801    7.8021     8.6163
11.1573    7.8553     8.6164
11.2912    7.936      8.5948
11.4032    8.0156     8.5558
11.5049    8.0947     8.528
11.5818    8.1646     8.5231
11.6649    8.2285     8.5148
11.7982    8.314      8.4723
11.8382    8.3971     8.4432
11.9085    8.4889     8.3981
12.0152    8.5781     8.3818
12.0959    8.7266     8.2943
12.1939    8.8074     8.238
12.2561    8.8844     8.2413
12.3016    8.9897     8.2417
12.3209    9.1111     8.2089
12.4104    9.2572     8.1502
12.4756    9.3647     8.1568
12.5648    9.4482     8.1405
12.6       9.5356     8.1588
12.6361    9.6366     8.0822
12.6661    9.6462     8.066
12.7366    9.7271     8.0106
12.7683    9.7921     8.0501
12.7661    9.9402     7.983










































































































































































9.419      11.0863    7.8264     R_FOS
12.1449    8.1384     7.8671     L_FOS
