NMNH       270954     ctl1ms.xls








































































11.8787    8.1981     8.4591     L-ALV
11.957     8.2084     8.4248
12.0768    8.2092     8.3899
12.2126    8.2548     8.375
12.2623    8.2608     8.3482
12.4021    8.3265     8.3309
12.5094    8.3658     8.3432
12.7083    8.5193     8.206
12.7927    8.5932     8.2065
12.8964    8.6926     8.139
13.0119    8.7617     8.1075
13.1523    8.8645     8.0724
13.2421    8.9531     8.1337
13.2685    9.0532     8.0624
13.3471    9.1506     8.01
13.4206    9.2234     7.9915
13.5406    9.3465     7.9462
13.6178    9.3739     7.9327
13.6881    9.5056     7.8901
13.7358    9.5778     7.9203
13.689     9.6337     7.8806
13.7663    9.7291     7.7405
13.8666    9.8743     7.7155
13.9331    9.9861     7.693
14.0247    10.1229    7.6354
14.0825    10.2276    7.6447
14.1825    10.3204    7.6137
14.2644    10.4409    7.6171
14.3056    10.5088    7.6402
14.2377    10.5759    7.6639










































































































































































8.6435     11.575     7.4337     R_FOS
11.4388    8.252      7.4456     L_FOS
