NMNH       220088     ctt23ms.xls
15.4519    12.367     8.2366
15.5046    12.4132    8.1451
15.5       12.6529    8.1699








































































































































































8.5881     11.4232    6.9264     R_FOS
11.5668    8.0801     6.9206     L_FOS
