AMNH       189378     ca17ms.xls
9.338      14.1343    -8.3996









































































































































11.3346    9.3113     -7.2159    RORBIT
11.4603    9.2255     -7.233
11.5924    9.1076     -7.2652
11.7517    9.0368     -7.3176
11.8369    9.0118     -7.3514
11.9516    8.8977     -7.4438
12.0586    8.8602     -7.5623
12.1413    8.8815     -7.6574
12.2157    8.8296     -7.7858
12.2821    8.82       -7.8931
12.3053    8.8349     -7.9832
12.3365    8.8212     -8.0685
12.366     8.8312     -8.2139
12.3494    8.846      -8.3185
12.3353    8.8638     -8.458
12.2921    8.8819     -8.5732
12.2506    8.869      -8.6884
12.2104    8.8813     -8.774
12.1449    8.9107     -8.8729
12.0881    8.9542     -8.9692
12.0208    8.9891     -9.0521
11.9641    9.0203     -9.1002
11.8661    9.0647     -9.2341
11.8134    9.1586     -9.2197
11.71      9.223      -9.3
11.6259    9.332      -9.3101
11.5443    9.3398     -9.3601
11.4669    9.4251     -9.3902
11.3817    9.5212     -9.3893
11.3236    9.574      -9.4081
11.2419    9.627      -9.4038
11.1817    9.6717     -9.3995
11.1185    9.7179     -9.4003
11.0591    9.8149     -9.3673
10.9989    9.8518     -9.3485
10.9492    9.8845     -9.3298
10.8765    9.9483     -9.3171
10.8277    10.0249    -9.3433
10.7394    10.0336    -9.427
10.629     10.1036    -9.476
10.5753    10.202     -9.46
10.5251    10.2878    -9.3896
10.4912    10.3348    -9.2803
10.4809    10.3552    -9.193
10.4505    10.3904    -9.0439
10.4373    10.4036    -8.9671
10.4209    10.4128    -8.9008
10.4211    10.4194    -8.794
10.3803    10.4295    -8.658
10.3656    10.4243    -8.5834
10.3521    10.4111    -8.5046
10.3025    10.4083    -8.4208
10.303     10.3923    -8.392



















































































































































9.2358     12.157     -7.2322    LORBIT
9.1898     12.2586    -7.2279
9.1421     12.3846    -7.2442
9.0999     12.5342    -7.249
9.0622     12.6467    -7.2907
9.0617     12.7354    -7.325
9.0516     12.8733    -7.3972
9.0524     12.9734    -7.4749
9.0328     13.0637    -7.539
9.0372     13.1471    -7.6128
9.0544     13.2206    -7.7031
9.0689     13.2661    -7.7821
9.0954     13.326     -7.8594
9.113      13.3625    -7.9497
9.1246     13.392     -8.021
9.1477     13.4181    -8.1426
9.1359     13.4535    -8.2625
9.1669     13.4305    -8.3934
9.1779     13.3731    -8.5267
9.208      13.294     -8.665
9.2338     13.1937    -8.803
9.2518     13.0865    -8.9471
9.296      12.9553    -9.0571
9.3118     12.8204    -9.1674
9.3319     12.6906    -9.247
9.3844     12.6075    -9.2741
9.4078     12.4841    -9.3353
9.441      12.3718    -9.3597
9.4935     12.2264    -9.3778
9.5334     12.1213    -9.3755
9.5871     11.9764    -9.3488
9.611      11.8758    -9.3169
9.672      11.7621    -9.2814
9.706      11.6438    -9.278
9.7648     11.5536    -9.338
9.7973     11.4571    -9.3941
9.8641     11.3608    -9.3424
9.9158     11.2889    -9.2834
9.9503     11.2355    -9.191
9.981      11.2289    -9.0639
9.9683     11.1713    -8.9798
9.9084     11.019     -8.8908
9.9169     10.9977    -8.786
