AMNH       52596      laj13ms.xls
10.6318    6.9973     -9.4214
10.5034    7.0716     -9.4514
10.409     7.2221     -9.4001
10.3168    7.2126     -9.451
10.2284    7.2875     -9.4158
10.202     7.3083     -9.4356
10.0828    7.4614     -9.4026
9.949      7.5818     -9.3262
9.8419     7.6856     -9.1907
9.7804     7.7464     -9.0754
9.7351     7.7998     -8.9753
9.6759     7.8184     -8.7829
9.6439     7.827      -8.6421
9.5885     7.8181     -8.4717


































































































































































8.1688     9.2286     -7.2043    LORBIT
8.1412     9.3755     -7.2358
8.0799     9.53       -7.3136
8.0798     9.7413     -7.4026
8.0763     9.8848     -7.523
8.0764     10.024     -7.669
8.0997     10.1248    -7.8104
8.1426     10.1662    -7.9649
8.1283     10.2214    -8.1191
8.1611     10.2627    -8.282
8.1935     10.2718    -8.509
8.2659     10.1376    -8.9568
8.3348     9.9954     -9.14
8.4192     9.8568     -9.2671
8.4408     9.7058     -9.3752
8.5181     9.5226     -9.432
8.6136     9.3079     -9.4686
8.698      9.1128     -9.4898
8.9195     8.7969     -9.4606
9.0233     8.6535     -9.4274
9.1311     8.504      -9.3373
9.1371     8.4045     -9.2525
9.177      8.3115     -9.0968
9.2168     8.2647     -8.832
9.2515     8.3147     -8.6745
9.2152     8.2297     -8.5392














































































































































































12.0532    6.5658     -8.1714    RTEMFOS
12.0031    6.5152     -7.9255
11.9173    6.467      -7.6776
11.7888    6.3949     -7.3962
11.7285    6.3656     -7.1716
11.671     6.3152     -6.933
11.6601    6.2854     -6.6615
11.7506    6.2805     -6.3362
11.9119    6.3052     -6.124
12.1486    6.2805     -6.0462
12.4208    6.3057     -5.9864
12.6477    6.3866     -6.0224
12.7713    6.4591     -6.0682



























































































































































































8.2543     10.6723    -8.2315    LTEMFOS
8.1886     10.6236    -8.0974
8.1369     10.6147    -7.9213
8.0743     10.5275    -7.7069
8.016      10.4772    -7.4931
7.9652     10.4181    -7.2929
7.9246     10.3955    -7.0344
7.9117     10.3891    -6.8475
7.9478     10.5163    -6.5054
7.9755     10.6576    -6.35
8.0012     10.841     -6.2474
8.1153     11.0713    -6.2003
8.226      11.3293    -6.2354
8.3108     11.5681    -6.3079
8.3501     11.6768    -6.3449

























































































































































































8.0089     7.2418     -7.2462    OP
9.3367     8.3425     -7.3424    BA
11.815     10.7703    -6.717     ST
14.169     12.8154    -6.5602    IV
11.7158    6.5217     -6.6855    R_PG
13.6473    7.4057     -6.5793    R_ZTI
13.106     9.8293     -7.3666    R_M3D
14.146     10.458     -7.3008    R_M12
15.1359    11.774     -7.2298    R_MP3
15.4532    12.389     -6.942     R_PMI
7.5365     10.8815    -6.6684    L_PG
8.4956     12.7426    -6.4009    L_ZTI
10.8692    11.9609    -7.4442    L_M3D
11.5988    13.144     -7.3611    L_M12
13.0397    14.0491    -7.2571    L_MP3
13.6533    14.2068    -7.063     L_PMI
15.6913    13.9075    -7.0302    O1
10.6724    13.9021    -6.2572    O2
6.2004     9.8022     -5.7101    O3
6.2937     6.5857     -5.3158    O4




















































































































































































14.6823    10.0569    -6.4312    RZYGINF
14.7738    10.034     -6.4878
14.8751    9.8659     -6.5741
14.9596    9.5832     -6.6731
14.8961    9.3219     -6.7184
14.8361    9.0575     -6.768
14.6895    8.8296     -6.8579
14.5898    8.6345     -6.8578
14.3907    8.4612     -6.8323
14.2495    8.2991     -6.8621
14.082     8.0723     -6.8158
13.9467    7.8265     -6.7451
13.7877    7.6245     -6.6584
13.701     7.4738     -6.6219
13.6137    7.4151     -6.5738

























































































































































































11.1006    13.5741    -6.5546    LZYGINF
10.938     13.7213    -6.6854
10.6647    13.7513    -6.7547
10.4612    13.722     -6.7941
10.3818    13.725     -6.7789
10.0791    13.6049    -6.7821
9.8745     13.5006    -6.7885
9.6649     13.3696    -6.8281
9.4542     13.2539    -6.7862
9.2616     13.1236    -6.7217
9.0393     13.0026    -6.6285
8.8435     12.9013    -6.5482
8.739      12.8446    -6.5218
8.576      12.7544    -6.4897
8.4838     12.7163    -6.4354

























































































































































































13.0005    9.8119     -7.4364    R-ALV
13.1161    9.8215     -7.4032
13.2234    9.8267     -7.3931
13.3321    9.8595     -7.4136
13.4676    9.9175     -7.3724
13.5735    9.9886     -7.3737
13.7911    10.0685    -7.2997
13.892     10.1753    -7.2916
14.0161    10.269     -7.2992
14.1195    10.3988    -7.2939
14.1438    10.448     -7.2879
14.2387    10.5698    -7.2014
14.3457    10.665     -7.2266
14.4589    10.7722    -7.2215
14.5365    10.9406    -7.1883
14.5996    11.0746    -7.2021
14.7719    11.2226    -7.1356
14.8166    11.3447    -7.0935
14.9359    11.4501    -7.1449
15.0532    11.5756    -7.1872
15.1407    11.6846    -7.2051
15.1763    11.7472    -7.2099


















































































































































































10.8629    11.9265    -7.4418    L-ALV
10.8769    12.0826    -7.3866
10.8986    12.2117    -7.3731
10.9239    12.3207    -7.3294
11.0439    12.5178    -7.281
11.1172    12.6302    -7.3033
11.182     12.7346    -7.3079
11.2514    12.8446    -7.3101
11.3499    12.9595    -7.2735
11.4105    13.0264    -7.248
11.5048    13.1162    -7.2457
11.6042    13.144     -7.2862
11.6467    13.1892    -7.289
11.7455    13.2979    -7.2409
11.8633    13.3842    -7.2303
11.9934    13.5024    -7.2211
12.137     13.5531    -7.2336
12.275     13.5709    -7.1276
12.3981    13.6629    -7.1439
12.5479    13.762     -7.1226
12.6806    13.8674    -7.2054
12.8023    13.9606    -7.2163
12.895     14.0175    -7.2117
13.0193    14.0761    -7.2352
13.0781    14.101     -7.254















































































































































































10.9743    6.8138     -6.0683    R_FOS
8.4736     9.5899     -6.0028    L_FOS
