AMNH       119757     CTT4MS.XLS
13.7207    15.761     -8.9045
13.97      15.9182    -8.8974
14.1688    16.0869    -8.87
14.3791    16.2351    -8.8052


























































































































































































12.7489    9.6176     -6.4363    R_FOS
9.5537     13.2515    -6.2387    L_FOS
