NMNH       218844*    ctt22ms.xls
14.8587    6.9338     7.6359
14.8073    6.8809     7.601
14.76      6.8386     7.5841
14.745     6.7777     7.575
14.724     6.7632     7.5599
14.6778    6.7183     7.5549
14.6422    6.665      7.5321












































































































































































11.9604    10.6187    8.3578     R-ALV
11.9463    10.75      8.3444
11.9767    10.835     8.3306
12.0248    10.9831    8.3235
12.0181    11.0646    8.3209
12.0264    11.1225    8.3301
12.0661    11.2111    8.3146
12.1119    11.2711    8.3241
12.1568    11.3404    8.3186
12.1969    11.3968    8.3165
12.2183    11.4512    8.3201
12.239     11.514     8.3117
12.2856    11.5722    8.2886
12.3328    11.6109    8.2758
12.383     11.6815    8.2576
12.4967    11.7587    8.2536
12.5635    11.8795    8.2483
12.6242    11.911     8.2334
12.715     11.9584    8.1855
12.7699    12.0131    8.1569
12.8392    12.0778    8.1307
12.9027    12.1301    8.1129
13.0958    12.2166    8.088
13.2395    12.3881    8.0789
13.4181    12.4441    7.9988
13.5607    12.543     8.0006
13.671     12.6286    7.9897
13.7877    12.684     7.99
13.8592    12.7154    8.0133
13.9346    12.7636    7.9862
14.0615    12.8237    7.9482
14.1077    12.8858    7.9123
14.3191    12.954     7.862







































































































































































13.964     8.6275     8.43       L-ALV
14.0968    8.6507     8.4177
14.1849    8.6564     8.4049
14.2788    8.7051     8.3999
14.3461    8.7237     8.3819
14.4564    8.7726     8.3906
14.5168    8.8287     8.4087
14.5821    8.8773     8.4237
14.6668    8.9116     8.4132
14.7393    8.9894     8.4205
14.8225    9.0233     8.4008
14.9215    9.0944     8.3729
15.0011    9.1298     8.3621
15.0622    9.1815     8.3328
15.1454    9.2861     8.3295
15.254     9.4367     8.2681
15.3399    9.566      8.256
15.3861    9.6499     8.2308
15.47      9.7575     8.222
15.5104    9.78       8.2156
15.6637    9.887      8.2264
15.634     10.1437    8.1043
15.7432    10.2082    8.0837
15.8664    10.343     8.0252
15.9513    10.4424    8.0308
16.0095    10.5418    8.0311
16.0755    10.6368    8.0341
16.1235    10.7177    7.9797
16.2051    10.7892    7.9572
16.3072    11.022     7.8961










































































































































































8.9586     10.2221    7.1723     R_FOS
11.6603    7.6213     7.0823     L_FOS
