AMNH       52618      LAJ17MS.XLS
17.1317    11.6779    -6.6897
17.0969    11.4943    -6.7305
17.0283    11.298     -6.7634
16.9523    11.1575    -6.7903
16.8494    11.0323    -6.7816
16.7545    10.9374    -6.6941
16.6635    10.7687    -6.5985
16.5652    10.6086    -6.5508
16.4559    10.4553    -6.5177
16.3399    10.3149    -6.4889
16.2491    10.2228    -6.4622
16.1484    10.0908    -6.4582
16.0496    9.9909     -6.4121
16.0045    9.9078     -6.3784























































































































































































12.5055    16.4753    -6.8845    LZYGINF
12.3801    16.5429    -6.8236
12.1613    16.6622    -6.8145
11.9901    16.6422    -6.8654
11.7967    16.5388    -6.9103
11.5683    16.4406    -6.9379
11.4287    16.3414    -6.96
11.244     16.2682    -6.914
11.1618    16.1968    -6.864
11.0134    16.1004    -6.7009
10.7971    15.9268    -6.676
10.6544    15.8212    -6.6491
10.5035    15.7121    -6.631
10.4361    15.6449    -6.6094
10.2979    15.5324    -6.5482
10.2706    15.4919    -6.5108
























































































































































































15.4387    12.6377    -7.5712    R-ALV
15.8778    12.8798    -7.5303
16.1418    13.0579    -7.433
16.2562    13.1846    -7.409
16.4221    13.2865    -7.368
16.5041    13.3734    -7.3745
16.7041    13.5304    -7.2908
16.7791    13.662     -7.3083
16.8745    13.7672    -7.2934
16.9574    13.865     -7.2456
17.0167    13.9924    -7.2754
17.0389    14.1435    -7.2871
17.1667    14.254     -7.2337
17.2656    14.3435    -7.2063
17.3893    14.5051    -7.222
17.4997    14.6727    -7.1953
17.5627    14.7487    -7.1747
17.6413    14.8696    -7.1476





























































































































