AMNH       86900      laa1ms.xls



























































































































12.4967    8.5127     -6.057     RZYGINF
12.4879    8.3518     -6.0981
12.4477    8.2236     -6.0713
12.3966    8.015      -6.0602
12.312     7.8237     -6.0984
12.1696    7.6322     -6.1167
11.9656    7.5567     -6.1199
11.7999    7.3733     -6.0698
11.6031    7.2755     -5.9842
11.4892    7.097      -5.8463
11.3181    6.9478     -5.7858
11.185     6.8402     -5.7713
11.1059    6.7975     -5.7382
11.0102    6.7496     -5.6743


























































































































































































9.7168     13.0425    -6.4165    LZYGINF
9.5669     13.089     -6.4507
9.348      13.1702    -6.51
9.3517     13.1451    -6.5323
9.1122     13.1351    -6.5851
8.8639     13.0801    -6.5485
8.5492     13.0129    -6.4949
8.2634     12.9945    -6.3915
8.13       12.9779    -6.3505
7.9589     12.9359    -6.2861
7.8359     12.9181    -6.267
7.6541     12.8917    -6.2286
7.4774     12.8381    -6.1995



























































































































































































10.9417    8.9956     -7.192     R-ALV
11.0594    8.9994     -7.185
11.1856    8.9958     -7.1746
11.2922    8.9832     -7.1326
11.4652    9.0377     -7.1117
11.5431    9.0394     -7.0739
11.6649    9.0697     -7.0845
11.7857    9.115      -7.0525
11.8782    9.1549     -7.0771
12.1166    9.2508     -7.0396
12.1939    9.3782     -7.0571
12.3139    9.4767     -7.0674
12.4297    9.5314     -7.0722
12.5402    9.6042     -7.1046
12.6585    9.7389     -7.072
12.7904    9.8539     -7.1089
12.8889    9.8967     -7.0968
13.0219    10.0438    -7.119
13.111     10.0999    -7.0651
13.233     10.2011    -7.1089
13.3244    10.2929    -7.1065



















































































































































































9.5114     11.461     -7.4336    L-ALV
9.5778     11.5934    -7.4108
9.6351     11.7165    -7.3892
9.7019     11.8141    -7.3936
9.8218     11.8918    -7.3568
10.0129    12.0852    -7.3443
10.1795    12.2211    -7.3448
10.3945    12.2895    -7.3268
