NMNH       220354     ctt27ms2.xls
6.4143     10.1806    10.3619
6.4543     10.2262    10.4733
6.4428     10.2698    10.5286
6.4303     10.2931    10.6259
6.4755     10.3259    10.6612
6.4609     10.346     10.7218
6.4343     10.3664    10.8016
6.4268     10.3771    10.8728
6.4295     10.405     10.9729
6.4432     10.4078    11.0318
6.3875     10.4051    11.1503
6.3986     10.3878    11.246
6.5061     10.3777    11.4388
6.4979     10.3328    11.5626
6.4533     10.2618    11.7044
6.4786     10.1954    11.7845
6.4717     10.1474    11.8882
6.47       10.094     11.9701
6.5015     10.0335    12.048
6.5365     9.9636     12.1062
6.5732     9.8967     12.1543
6.5888     9.8527     12.2121
6.6325     9.7684     12.2596
6.6649     9.6749     12.3358
6.7164     9.5989     12.3317
6.7481     9.5461     12.3494
6.7984     9.4671     12.3867
6.88       9.3782     12.4101
6.9086     9.3302     12.435
6.9906     9.2284     12.4809
7.0658     9.1393     12.4842
7.1474     9.062      12.4857
7.2022     8.9974     12.4887
7.2627     8.9072     12.527
7.2907     8.8336     12.5363
7.3425     8.7654     12.5513
7.4277     8.691      12.5117
7.4921     8.5718     12.4916
7.6125     8.5309     12.3833
7.6523     8.4035     12.3768
7.7396     8.3996     12.213
7.7348     8.2998     12.1143
7.7695     8.3122     11.9769
7.7691     8.3531     11.8423
7.7681     8.3462     11.6606
7.7518     8.3152     11.4956
7.7338     8.3214     11.3964
7.7222     8.3119     11.2887
7.7183     8.3234     11.2465
7.6802     8.3488     11.1331
7.6782     8.3802     11.0459










































































































































9.3213     6.7855     9.9002     LORBIT
9.4601     6.7552     9.911
9.5717     6.6556     9.9153
9.7047     6.6415     9.9345
9.768      6.6291     9.9442
9.8887     6.6065     9.998
9.9278     6.6168     10.049
10.0404    6.6149     10.1075
10.091     6.6316     10.1258
10.1922    6.6135     10.2236
10.2169    6.6114     10.2614
10.2494    6.6567     10.3413
10.3137    6.6754     10.4164
10.3513    6.6768     10.4816
10.39      6.6675     10.5715
10.4229    6.6676     10.6727
10.4555    6.6663     10.7745
10.4763    6.6739     10.8149
10.486     6.6799     10.8673
10.4919    6.6713     10.9139
10.5178    6.6753     11.0375
10.5244    6.7657     11.1487
10.5318    6.75       11.2496
10.4955    6.756      11.3842
10.4717    6.7616     11.4941
10.4214    6.7819     11.5619
10.3664    6.7879     11.6639
10.2965    6.7711     11.7625
